race_id,candidate,attempted_url,outcome,notes,source_candidate_name,gap_kind,role
race-d2aabb75a31f1e810737,Vichal Kumar,https://arabic.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Vichal+Kumar&candidateId=V1646&electionCycle=2026&geoAreaAbbr=07&partyId=D,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-64bde8b146c8826d40ce,Oscar J. Romero Jr.,https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Oscar+J+Romero+Jr&candidateId=V1749&electionCycle=2026&geoAreaAbbr=13&partyId=D,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-4d9e32ed7f0d618a96ce,Felipe Garcia,https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Felipe+Garcia&candidateId=V1752&electionCycle=2026&geoAreaAbbr=14&partyId=D,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-b1a420450d32f5e0bd93,Dan Tully,https://news.wttw.com/elections/voters-guide/2026-primary/dan-tully,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Dan Tully,,
race-b1a420450d32f5e0bd93,Melissa L. Bean,https://www.melissabeanforcongress.com/issues,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Melissa L. Bean,,
race-b1a420450d32f5e0bd93,Ryan Vetticad,https://www.ryanforillinois.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Ryan Vetticad,,
race-b1a420450d32f5e0bd93,Sanjyot Dunung,https://news.wttw.com/elections/voters-guide/2026-primary/sanjyot-dunung,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Sanjyot Dunung,,
race-b1a420450d32f5e0bd93,Yasmeen Bankole,https://news.wttw.com/elections/voters-guide/2026-primary/yasmeen-bankole,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Yasmeen Bankole,,
race-b1a420450d32f5e0bd93,Kevin B. Morrison,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-76c7cbb9d6b99bc5d802,Chris Espinosa,https://parentsagainstssfl.com/vote,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Chris Espinosa,,
race-76c7cbb9d6b99bc5d802,Sasan Samadzadeh,https://sasansamadzadeh.org/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-76c7cbb9d6b99bc5d802,Jacqui Irwin,https://jacquiirwin.com/champion-for-our-environment,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-76c7cbb9d6b99bc5d802,Sonia Devgan-Kacker,https://parentsagainstssfl.com/vote,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-b72c70764e7173f3e7b1,Helena Pasquarella,https://www.pasquarellaforcongress.com/issues,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-b72c70764e7173f3e7b1,Salud Carbajal,https://www.saludcarbajal.com/issues/making-health-care-more-affordable,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-6233a2b380836f3b2218,Alissa Murphy,https://www.fec.gov/data/candidate/H6MO01311/,identity_only_no_policy_answers,Official FEC page confirms candidacy and committee identity but contains no candidate-authored policy platform or questionnaire answers. A candidate LinkedIn post was located but did not provide a usable policy position.,Alissa Murphy,,
race-6233a2b380836f3b2218,Carl Harris Sr.,https://secure.actblue.com/directory/MO,identity_only_no_policy_answers,ActBlue directory confirms a campaign fundraising entry but provides no candidate-authored policy platform or questionnaire answers.,Carl E. Harris Sr,,
race-6233a2b380836f3b2218,Carl Henderson,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,official_identity_only,Official certified candidate list verifies ballot identity; no distinct candidate-authored policy source was recovered in the bounded pass.,Carl Earnest Henderson,,
race-3b9a8d1c4fa2cbcadb73,Ashleigh Rogers,https://ashleighrogers4congress.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,Ashleigh Rogers,,
race-3b9a8d1c4fa2cbcadb73,G. Rick,https://www.axios.com/local/kansas-city/2026/07/31/missouri-4th-district-primary-candidates-2026,candidate_did_not_respond_source_body_unavailable,"Axios search indexing states G Rick did not respond to its candidate questions, but direct retrieval returned a challenge page, so the article body was not retained or used as policy evidence.",G Rick,,
race-0737ecc067d5cc0799e8,Hamid Parvizian,,unresolved_discovery_or_attribution_gap,No retained source in the packet. This packet-only pass did not claim an exhaustive external search.,,cached_source_gap,
race-be4bad5778e280b31274,Gary G. Davis,https://www.ncbw-chattanooga.org/wp-content/uploads/2020/07/Chatanooga-Voters-Guide-August-2020.pdf,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-be4bad5778e280b31274,Robin Kimbrough,https://www.ncbw-chattanooga.org/wp-content/uploads/2020/07/Chatanooga-Voters-Guide-August-2020.pdf,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-9c84c4f62bbebc0b7b7d,Deborah Fisher,https://www.cornellsun.com/article/2025/03/this-is-a-moment-like-no-other-progressive-deborah-fisher-announces-run-for-common-council,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-3db62fccce64bbd64336,Edith M. Ladipo,,unresolved_discovery_or_attribution_gap,The retained third-party profile provides platform summaries but no attributable candidate words. This packet-only pass did not claim an exhaustive external search.,,cached_source_gap,
race-be4bad5778e280b31274,James Mackler,https://www.jamesmackler.com/frontpage/2019/healthcareprotections190628,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-be4bad5778e280b31274,Marquita Bradshaw,https://web.archive.org/web/20201004005244id_/https://ballotpedia.org/Marquita_Bradshaw,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-14d53ce965776b0cb235,Ciara Parks,https://www.ciaraforjp1.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-2c2133100c33cde0b378,Adam Bojak,https://www.bojakforassembly.com/platform-policy,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-2c2133100c33cde0b378,Kevin Deese,https://www.kevindeese.com/platform,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-3db62fccce64bbd64336,Demetria Henderson,https://hendersonforga58.org/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-3db62fccce64bbd64336,Mathewos Samson,https://atlantaciviccircle.org/2026/04/01/unexpected-candidate-dsa-mathewos-samson-legislature-georgia,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-3feef0e6623161e871c8,Allison Eriksen,https://www.montgomery4all.org/allison-eriksen-2026,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-3feef0e6623161e871c8,"Izola ""Zola"" Shaw",https://www.montgomery4all.org/izola-shaw-2026,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-3feef0e6623161e871c8,Jud Ashman,https://www.montgomery4all.org/jud-ashman-2026,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-73ab9dfc740e7a921829,Christopher Taylor,https://www.taylorforannarbor.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-73ab9dfc740e7a921829,Yousef Rabhi,https://michiganadvance.com/2026/02/02/rabhi-challenges-ann-arbors-democratic-establishment-with-socialist-mayoral-bid,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-7887f598f39fd35231f5,Chris Gilmer-Hill,https://chrisgilmerhill.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-7887f598f39fd35231f5,Deanne Austin,https://votedeanneaustin.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-7887f598f39fd35231f5,Fedor Kinaya,https://kinayaformichigan.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-8b7a8f7e7882f4f63dbb,Michael Bailey,https://baileyfor56.com/,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
race-a493243e3fd4b72b829f,Ernest E. Johnson,https://wtop.com/dc-election/2026/06/get-to-know-dc-mayoral-candidate-ernest-johnson,pre_primary_timing_unverified,Candidate words recovered; timing remains qualified. Prior attempts are preserved.,,,
