document_id,candidate_name,source_url,source_sha256,rejected_publication_date,publication_date,campaign_window_status,analysis_scope,analysis_issues,reason
37d889f9d5e21db48c12fe2f,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
3ef1ff15a3e9f346e8ad9ab0,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
47c7d6e9ce7e135b2068938b,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
4af1a38a1633b127631881c7,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
70b7e4583ff53bb53c752e6f,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
ac1b1bd0b405a705ec2d3a90,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
d40d2601ea679920f40ee4ab,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
f168be9e33058fb5098d56b0,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
f4dd97270ca277f5758f69bf,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
fd21d6ccf71a90b8fa7ea483,Bernie Sanders,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,2016-01-06,,undated,analysis,,"The stored day is the actual Wayback capture, not a verified original publication day. Preserve the pre-primary replay as availability evidence without calling it publication."
