topic_group,distinct_source_quote_pairs,election_cases,shared_position,explicit_disagreement,different_mechanism,different_scope,different_strategy,different_emphasis,timing_unverified_pairs,comparison_ids,interpretation_limit
food_agriculture,5,2,4,0,0,0,1,0,0,parent-chiara-gruber-community-gardens | cmp-hist-c-fol-rochester-gardens | cmp-hist-c-fol-rochester-food-access | roc25-lupien-evans-garden-support | roc25-lupien-sinha-garden-support,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
foreign_policy,12,3,3,0,0,7,1,1,0,co01-israel-arms-scope-2026 | oh21-turner-brown-two-state | oh21-turner-johnson-two-state | oh21-turner-barnes-two-state | oh21-turner-brown-aid | oh21-turner-johnson-aid | oh21-turner-barnes-aid | oh21-turner-smith-aid | oh21-turner-brown-iran | oh21-turner-johnson-iran | oh21-turner-smith-iran | nc20-lockwood-price-foreign,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
healthcare,77,43,40,4,3,1,17,12,31,co01-healthcare-alignment-2026 | cmp-mi13-medicare-for-all | cmp-pa03-universal-healthcare | cmp-il06-healthcare-strategy | cmp-il08-ahmed-khot-healthcare | cmp-pa03-rabb-stanford-healthcare | cmp-pa03-rabb-griffith-healthcare | hp16-health-principle | hp20-sanders-biden-health | hp20-sanders-klobuchar-health | hp20-sanders-buttigieg-health | hp20-sanders-warren-health | hp20-sanders-gabbard-health | hp20-sanders-delaney-health | cmp-joldc-37-38-healthcare | cmp-joldc-37-40-healthcare | cmp-joldc-37-41-healthcare | cmp-joldc-west-rein-single-payer | cmp-joldc-brisport-salmon-single-payer | cmp-joldc-mitaynes-walsh-single-payer | fed24-bowman-latimer-health | hi18-ing-fukumoto-health | hi18-ing-chin-health | hi18-ing-kim-health | hi18-ing-martin-health | hi18-ing-puletasi-health | in18-canon-chatlos-opioid-response | de20-scarane-coons-healthcare | ny15-lopez-torres-single-payer | ny15-lopez-torres-immigrant-health | ny16-bowman-engel-health | ny16-bowman-ravelo-health | ny22-alexis-mays-health | pa24-cass-blackwell-health | ny20-bowman-andom-health | mn22-freeberg-pappas-health | tx20-sloan-oliver-mfa | mi20-tlaib-jones-mfa | nc20-lockwood-price-health | hpf20-sanders-yang-health | hpf20-sanders-gleib-health | hpf20-sanders-patrick-health | hpf20-sanders-williamson-health | az18-westbrook-tipirneni-health | az18-westbrook-tipirneni-private-insurance | az18-westbrook-tipirneni-aca | cmp-il08-healthcare-right | cmp-il08-ahmed-tully-public-insurance | cmp-il08-ahmed-dunung-healthcare | cmp-il08-ahmed-bankole-healthcare-right | cmp-il08-ahmed-bean-healthcare | cmp-ca26-chris-liam-single-payer | cmp-ca26-chris-sasan-single-payer | cmp-ca24-helena-sarah-single-payer | cmp-ca24-helena-salud-healthcare-strategy | cmp-hist-a-08-005 | cmp-hist-a-09-006 | cmp-hist-a-15-015 | cmp-hb15-universal-healthcare | cmp-joldc-simotas-mamdani-single-payer | ny14-18-declared-health-priority | md20-wilkes-urbina-mfa | il20-ventura-foster-healthcare | il20-clark-davis-health | il20-clark-collins-health | il20-clark-schanbacher-health | ma20-uyterhoeven-sharp-state-payer | ma20-callahan-barber-state-payer | ma20-callahan-barber-health-route | ny22-forrest-alabi-health | sw26-orkin-rajkumar-care | sw26-blackburn-wright-care | or20-canning-defazio-health | or20-gamba-schrader-health | or20-gamba-reynolds-health | ms18-bohren-baria-health | ms18-bohren-sherman-health,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
housing,76,42,26,0,14,0,19,17,32,cmp-mo04-housing-strategy | cmp-mo04-hartzell-miller-housing | cmp-hist-a-05-003 | hp20-sanders-warren-housing | cmp-hd-25-ling-ye | cmp-joldc-1-3-housing | cmp-joldc-9-10-housing | cmp-joldc-24-15-housing | cmp-joldc-24-17-housing | cmp-joldc-24-19-housing | cmp-joldc-24-22-housing | cmp-joldc-24-26-housing | cmp-joldc-24-28-housing | dc20-george-todd-housing | dc20-george-edwards-housing | ny22-alexis-mays-good-cause | ny22-alexis-mays-421a | md22-socol-waldstreicher-housing | pa23-gross-botta-public-housing | pa23-gross-botta-inclusionary | wi26-bennett-martinez-rent-control | wi26-bennett-benami-housing | wi26-bennett-castaneda-housing | wi26-bennett-sullivan-housing | ny24-valdez-carmona-housing | ny24-gallagher-simpkins-housing | ny24-soto-benedetto-housing | ny24-huntley-zinerman-tenants | ny20-forrest-mosley-housing-access | mn22-freeberg-pappas-housing | mn22-freeberg-ellis-housing | mn20-fateh-hayden-housing-relief | f2-corado-walkinshaw-housing-fund | f2-corado-walkinshaw-diversity | f2-corado-walkinshaw-development | ny17-elyateem-brannan-housing | ny17-elyateem-carroll-housing | ny17-elyateem-tong-housing | wi26-hong-barnes-housing | wi26-hong-rodriguez-housing | wi26-hong-brennan-housing | wi26-hong-crowley-housing | wi26-hong-roys-housing | hpf20-sanders-bullock-housing | cmp-ny14-housing-strategy | cmp-mo04-gray-rogers-housing | cmp-hist-a-10-007 | cmp-hist-a-10-008 | cmp-hist-a-12-010 | cmp-hist-a-14-012 | cmp-hist-a-14-013 | cmp-hist-a-14-014 | cmp-hist-a-17-016 | cmp-hb06-raj-reyes-housing | cmp-hb06-raj-deramo-housing | cmp-hb06-raj-brown-housing | cmp-hb06-raj-lynch-housing | cmp-hb09-commercial-rent | cmp-hb16-housing | cmp-hist-c-36-josie-karla | cmp-hf-d38-aviles-painter-housing | cmp-hf-d38-aviles-camarena-housing | ma20-uyterhoeven-sharp-housing | ma20-callahan-barber-housing | pa20-saval-farnese-rent | pa20-saval-farnese-land-trusts | ny22-forrest-alabi-good-cause | va19-taeb-saslaw-housing-funding | va19-taeb-torrent-housing | pa23-celin-lozada-rent-control | pa23-celin-lozada-housing | sw26-orkin-rajkumar-housing | sw26-blackburn-wright-housing | ky20-fenwick-mulvihill-development | ma20-markey-kennedy-housing-investment | ma20-markey-kennedy-housing-tools,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
immigration,20,13,9,0,3,2,2,4,15,co01-ice-alignment-james-2026 | cmp-ny13-immigration | cmp-ny14-immigration | cmp-mi12-ice-strategy | cmp-hb13-immigrant-protection | cmp-ny13-immigration-romero | cmp-ny7-abolish-ice | cmp-ny7-abolish-ice-kumar | cmp-hb12-ice | ny14-18-immigration-emphasis | md24-crooms-hoyer-immigration | md24-crooms-bareebe-immigration | sw26-orkin-rajkumar-immigration | sw26-blackburn-wright-immigration | ma20-markey-kennedy-citizenship | ma20-markey-kennedy-enforcement | md26-acevero-lluberes-immigration | md26-acevero-lopez-immigration | md26-acevero-wims-immigration | md26-acevero-wu-immigration,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
justice_and_public_safety,42,27,22,3,3,1,6,7,11,cmp-hb04-koehle-allen-review | cmp-hb04-koehle-troop-review | cmp-hd-13-justin-m-krebs | cmp-hd-13-shahana-k-hanif | mo24-bush-bell-public-safety | ny15-lopez-torres-sex-work | dc20-george-todd-safety | dc20-george-edwards-safety | ny22-alexis-mays-parole | ny22-alexis-mays-sex-work | tx24-garza-sylestine-prosecution | pa23-gross-botta-youth | pa23-gross-botta-police | pa23-mcdermott-klein-shuman | ma16-connolly-toomey-cannabis | pa23-leuba-oconnor-jail | pa24-cass-blackwell-death-penalty | ny24-valdez-carmona-safety | ny24-valdez-carmona-sex-work | ny24-gallagher-simpkins-oversight | ny24-soto-benedetto-sex-work | ny24-soto-benedetto-vice | ny20-forrest-mosley-sex-work | f2-langford-wolfson-pretrial | f2-langford-wolfson-bail | f2-langford-wolfson-capital | ks20-portillo-willey-jail | ks20-reid-taliaferro-jail | ks20-reid-taliaferro-prevention | ks20-reid-thellman-jail | hpf20-sanders-gleib-prisons | cmp-hb11-marijuana | md24-crooms-hoyer-guns | ny22-forrest-alabi-sex-work | ny22-forrest-alabi-crisis | pa23-celin-lozada-school-police | sw26-orkin-rajkumar-safety | sw26-orkin-rajkumar-sex-work | sw26-blackburn-wright-safety | sw26-blackburn-wright-sex-work | ky20-fenwick-mulvihill-oversight | ky20-fenwick-mulvihill-safety,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
labor,10,7,7,0,0,3,0,0,3,cmp-ny7-labor | cmp-hb05-union-organizing | cmp-hb07-wages | mn22-freeberg-pappas-unions | mn22-freeberg-ellis-unions | az18-westbrook-tipirneni-workplace-fairness | az18-westbrook-tipirneni-leave | cmp-hb11-unions | pa20-saval-farnese-ab5 | pa20-saval-farnese-wage,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
local_services,3,1,2,0,0,1,0,0,0,ny17-elyateem-brannan-sanitation | ny17-elyateem-tong-sanitation | ny17-elyateem-carroll-sanitation,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
public_administration,1,1,1,0,0,0,0,0,0,pa23-leuba-oconnor-staffing,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
public_health,7,5,4,0,0,2,0,1,2,ny15-lopez-torres-consumption | ma16-connolly-toomey-treatment | ny17-elyateem-tong-injection-sites | ny17-elyateem-carroll-opioids | ny17-elyateem-brannan-opioids | pa20-saval-farnese-consumption | pa23-celin-lozada-overdose,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
public_infrastructure,1,1,0,0,0,0,1,0,0,pa24-cass-blackwell-infrastructure,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
public_services,1,1,0,0,0,0,0,1,1,cmp-hist-a-11-009,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
reproductive_rights,3,3,3,0,0,0,0,0,1,ny24-valdez-carmona-abortion | ny24-gallagher-simpkins-abortion | ny18-williams-hochul-reproductive-access,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
tax_budget,8,7,1,0,0,1,0,6,2,cmp-hb01-millionaire-tax | pa23-mcdermott-klein-assessments | or26-fireside-rodley-taxes | mn22-freeberg-pappas-budget | frontier-shvets-zurenda-cornell | hpf20-sanders-williamson-wealth | cmp-hist-e-001 | frontier-shvets-fisher-revenue,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
technology,10,3,1,0,3,4,0,2,4,nc20-lockwood-price-privacy | wi26-hong-barnes-data | wi26-hong-rodriguez-data | wi26-hong-brennan-data | wi26-hong-crowley-data | wi26-hong-roys-data | md26-acevero-lluberes-data | md26-acevero-lopez-data | md26-acevero-wims-data | md26-acevero-wu-data,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
transportation,20,10,8,0,3,3,2,4,8,cmp-hb01-green-line | cmp-hb02-acevero-hoverman-brt | cmp-hb02-acevero-bartlett-transit | cmp-hbr-md39-acevero-lopez-transit | dc20-george-todd-transit | az25-schubert-rockafellow-rta | f2-corado-walkinshaw-transit | f2-corado-walkinshaw-safety | f2-shadduck-baker-transit | ny17-elyateem-brannan-bikes | ny17-elyateem-carroll-bikes | ny17-elyateem-tong-bikes | parent-e-60a-fare-free-transit | cmp-hf-md43a-endow-elizabeth-embry-highway | cmp-hf-md43a-endow-regina-t-boyce-highway | cmp-hf-md43a-endow-reginald-benbow-highway | md26-acevero-lluberes-transit | md26-acevero-lopez-transit | md26-acevero-wims-transit | md26-acevero-wu-transit,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
veterans,1,1,1,0,0,0,0,0,0,hpf20-sanders-gleib-va,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
