requested_url,queue_document_id,candidate_name,race_id,election_date,source_type,association_status
https://www.klcc.org/politics-government/2026-04-16/democrats-compete-to-replace-springfields-john-lively-in-oregon-legislature,57f70ec812b766a801e2f742,Kori Rodley,race-ac20ab59155880ab9c39,2026-05-19,attributable_interview,unreviewed_discovery_lead_not_speaker_attribution
https://www.klcc.org/politics-government/2026-04-16/democrats-compete-to-replace-springfields-john-lively-in-oregon-legislature,b0f12739c995bfc0e72f590d,Ky Fireside,race-ac20ab59155880ab9c39,2026-05-19,attributable_interview,unreviewed_discovery_lead_not_speaker_attribution
https://www.thesomervilletimes.com/archives/70059,d4e75241a08d104513b88feb,Mike Connolly,ma-house-26th-middlesex-dem-primary-2016,2016-09-08,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://www.thesomervilletimes.com/archives/70059,dcb19afa2b4a443de3a0cb65,"Timothy J. Toomey, Jr.",ma-house-26th-middlesex-dem-primary-2016,2016-09-08,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://ballotpedia.org/Andrew_Edwards,c0de2f129cefccbe186751e7,Andrew Edwards,me-house-39-dem-primary-2016,2016-06-14,candidate_profile,unreviewed_discovery_lead_not_speaker_attribution
"https://ballotpedia.org/Kelly_Cheatle_(Rochester_City_Council,_New_York,_candidate_2025)",4752e5badd2ae3cdaa4b9f01,Kelly Cheatle,race-ceb86db4c84836622c21,2025-06-24,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://madison.citycast.fm/madison-explained/madison-democrat-candidates-assembly-district-76,a7d7ac2a47962f6e5c417b13,Dina Nina Martinez-Rutherford,race-e87b28f84c6a49987afa,2026-08-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://madison.citycast.fm/madison-explained/madison-democrat-candidates-assembly-district-76,77534e3cb31dd4e1a3cefcdb,Isaia Ben-Ami,race-e87b28f84c6a49987afa,2026-08-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://madison.citycast.fm/madison-explained/madison-democrat-candidates-assembly-district-76,f574434aa7d41522e4306666,Juliana Bennett,race-e87b28f84c6a49987afa,2026-08-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://madison.citycast.fm/madison-explained/madison-democrat-candidates-assembly-district-76,ba0c6734635b85d45b152fc2,Tony Castañeda,race-e87b28f84c6a49987afa,2026-08-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://madison.citycast.fm/madison-explained/madison-democrat-candidates-assembly-district-76,02c15af896ead20acff3025c,Zoe Sullivan,race-e87b28f84c6a49987afa,2026-08-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://ggwash.org/view/72115/senator-dick-saslaw-defends-his-record-and-talks-about-the-future-of-northern-virginia,b1a909ab9b30d1de26d6ab01,Karen Elena Torrent,race-5984c9799d268a401686,2019-06-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://ggwash.org/view/72115/senator-dick-saslaw-defends-his-record-and-talks-about-the-future-of-northern-virginia,d0c6fc99ad10614bb65cebfe,Richard Lawrence Saslaw,race-5984c9799d268a401686,2019-06-11,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,e4d31aba802964627fda2c7b,Deb Gross,national-recihG0fIKbvStGIg-dem-primary,2023-05-16,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,be9169a399d91f2748bfd22d,Jordan Botta,national-recihG0fIKbvStGIg-dem-primary,2023-05-16,candidate_questionnaire,unreviewed_discovery_lead_not_speaker_attribution
