document_id,source_id,metadata_document_id,race_id,candidate_name,url,final_url,publication_date,capture_date,retrieved_at,raw_path,sha256,bytes,content_type,status,title,notes
53cb0c94e7aeafab95d03af7,src-hist-a-01-53cb0c94e7aeafab95d03af7,53cb0c94e7aeafab95d03af7,me-house-39-dem-primary-2016,Andrew Edwards,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,2016-05-30,2016-06-07,2026-08-20T00:50:38.663128+00:00,data/raw/policy_historical_a/53cb0c94e7aeafab95d03af7-678b3b64253208f8.html,678b3b64253208f8f06956a1b91776bb646233dd83beba00ac35ef7a9f10ab13,102548,text/html,used,House District 39: Two newcomers seek House nomination - The Portland Press Herald / Maine Sunday Telegram,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
ef6edfaca5fa415eb5e98d77,src-hist-a-01-ef6edfaca5fa415eb5e98d77,ef6edfaca5fa415eb5e98d77,me-house-39-dem-primary-2016,Mike Sylvester,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,2016-05-30,2016-06-07,2026-08-20T00:50:38.663128+00:00,data/raw/policy_historical_a/ef6edfaca5fa415eb5e98d77-678b3b64253208f8.html,678b3b64253208f8f06956a1b91776bb646233dd83beba00ac35ef7a9f10ab13,102548,text/html,used,House District 39: Two newcomers seek House nomination - The Portland Press Herald / Maine Sunday Telegram,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
3e56224c19e7b0832f4bfe65,src-hist-a-02-3e56224c19e7b0832f4bfe65,3e56224c19e7b0832f4bfe65,race-0737ecc067d5cc0799e8,Todd Litton,https://web.archive.org/web/20180118144058id_/https://toddlitton.com/,https://web.archive.org/web/20180118144058id_/https://toddlitton.com/,2018-01-18,2018-01-18,2026-08-20T19:31:52.137276+00:00,data/raw/policy_historical_a/3e56224c19e7b0832f4bfe65-5f13ea163d50617c.com,5f13ea163d50617cebd6e135150cd3465ec2d72add3457a4914d32ad4b95ed99,31088,text/html,used,Todd Litton for Congress,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Derived from existing candidate-owned source URLs | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
90620cb506ce6755c1ce2d88,src-hist-a-02-90620cb506ce6755c1ce2d88,90620cb506ce6755c1ce2d88,race-0737ecc067d5cc0799e8,Silky Malik,https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,2017-12-06,2018-01-18,2026-08-20T19:31:51.403299+00:00,data/raw/policy_historical_a/90620cb506ce6755c1ce2d88-d1588065b5a90ecf.html,d1588065b5a90ecfe603125cc23e2ba4893b1d122d39820c7c24fdd4821c27cd,44899,text/html,used,So You Want to Be In Charge: Silky Malik (D) for Texas District 2 | Free Press Houston,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
96f62451c9bb92dc80dc1b60,src-hist-a-02-96f62451c9bb92dc80dc1b60,96f62451c9bb92dc80dc1b60,race-0737ecc067d5cc0799e8,Ali Khorasani,https://web.archive.org/web/20180209101917id_/https://www.tx2.rocks/,https://web.archive.org/web/20180209101917id_/https://www.tx2.rocks/,2018-02-09,2018-02-09,2026-08-20T19:32:26.199267+00:00,data/raw/policy_historical_a/96f62451c9bb92dc80dc1b60-777fe955f9cd88a8.rocks,777fe955f9cd88a87bf17020e95742f4e06674edc9649fbb19cf9441b68744f1,73523,text/html,used,Ali for Congress – Ali A. Khorasani is a candidate for Texas's 2nd congressional district.,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
2c997992bb9d3e9015cc24df,src-hist-a-03-2c997992bb9d3e9015cc24df,2c997992bb9d3e9015cc24df,race-e4f88f1286d62b12a1ab,Kareem Kandil,http://www.kareemforpa.com:80/issues,https://web.archive.org/web/20180224113906/http://www.kareemforpa.com:80/issues,2018-02-24,2018-02-24,2026-08-20T02:09:26.668192+00:00,data/raw/policy_historical_a/2c997992bb9d3e9015cc24df-fea7f4be1adafbe6.html,fea7f4be1adafbe6bb9c76171cfa529ceccaf70f6e5ac97dbbfe7d6d9835ac20,43077,text/html,used,Issues - Friends of Kareem Kandil,"Discovered via wayback_cdx from https://web.archive.org/cdx/search/cdx?url=kareemforpa.com/* (20180224113906) Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
e2e60a6820c30cf8e254e710,src-hist-a-03-e2e60a6820c30cf8e254e710,e2e60a6820c30cf8e254e710,race-e4f88f1286d62b12a1ab,Betsy Monroe,https://www.pghcitypaper.com/PolitiCrap/archives/2018/02/02/betsy-monroe-inspired-by-the-womens-march-is-challenging-state-rep-hal-english-in-pittsburghs-north-hills,https://web.archive.org/web/20180202214934id_/https://www.pghcitypaper.com/PolitiCrap/archives/2018/02/02/betsy-monroe-inspired-by-the-womens-march-is-challenging-state-rep-hal-english-in-pittsburghs-north-hills,,2018-02-02,2026-08-19T23:29:22.409584+00:00,data/raw/policy_historical_a/e2e60a6820c30cf8e254e710-7deff3309ac69745.html,7deff3309ac697453e59b5e2af45b9a26a4dfb5edfe3cd3fb840e6dd9c18ab7d,147594,text/html,used,"Betsy Monroe, inspired by the Women’s March, is challenging state Rep. Hal English in Pittsburgh’s North Hills | PolitiCrap","Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
914011075ad73d3afa3e7640,src-hist-a-04-914011075ad73d3afa3e7640,914011075ad73d3afa3e7640,race-be4bad5778e280b31274,Marquita Bradshaw,https://web.archive.org/web/20201004005244id_/https://ballotpedia.org/Marquita_Bradshaw,https://web.archive.org/web/20201004005244id_/https://ballotpedia.org/Marquita_Bradshaw,,2020-10-04,2026-08-21T03:40:44.827494+00:00,data/raw/policy_historical_a/914011075ad73d3afa3e7640-3f82be734ef498f7.html,3f82be734ef498f7a7075c7c7b5ec71b6f5477e7c1b31486535ad0315e9416f6,137542,text/html,timing_unverified,Marquita Bradshaw - Ballotpedia,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL | Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL | Source publication year 2019; exact publication date unknown. Review status follows packet timing_status=timing_unverified_same_cycle_capture. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
b415b886791b466eecf7890a,src-hist-a-04-b415b886791b466eecf7890a,b415b886791b466eecf7890a,race-be4bad5778e280b31274,James Mackler,https://www.jamesmackler.com/frontpage/2019/healthcareprotections190628,https://web.archive.org/web/20201025162227/https://www.jamesmackler.com/frontpage/2019/healthcareprotections190628/,,2020-10-25,2026-08-19T23:47:56.947659+00:00,data/raw/policy_historical_a/b415b886791b466eecf7890a-2db4ac48a07617fc.html,2db4ac48a07617fcf461cafcfb5eff45433142c7083872ca4fec2fcc615cddbf,48730,text/html,timing_unverified,EVERY TENN. HOUSE REPUBLICAN VOTES TO RIP AWAY PRE-EXISTING CONDITION PROTECTIONS AND INCREASE HEALTHCARE COSTS - James Mackler,"Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=timing_unverified_same_cycle_capture. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
51b2c55a3c7452723e4aacb6,src-hist-a-05-51b2c55a3c7452723e4aacb6,51b2c55a3c7452723e4aacb6,race-e7ab577213f4505717ec,Maurice Brown,https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,2023-03-13,,2026-08-20T19:32:51.810358+00:00,data/raw/policy_historical_a/51b2c55a3c7452723e4aacb6-ceaae48905a17da6.html,ceaae48905a17da6d08f475d32a4fe17e9f51d5c28deecc5aec556b59fbb7e24,206608,text/html,used,"Maurice Brown, Onondaga Legislator candidate, emphasizes community values - The Daily Orange","Seeded from legacy quotation-source inventory; collect full document text for audit coverage. | Seeded from existing candidate corpus URL Review status follows packet timing_status=pre_primary_screened. Identity is based on the canonical registry and cached source association, not an independently revalidated ballot record."
