cycle,county,status,source_id,raw_filename,source_url,notes
2024,Carson City,route_exhausted_no_artifact,,,https://www.carsoncity.gov/home/showpublisheddocument/89709/638556160788800000,Official 2024 summary document returns HTTP 403; official history page also returns 403 to direct acquisition; Wayback CDX returned no PDF capture.
2024,Churchill,captured_final,nv-2024-churchill-final-summary,nv/2024/nv-2024-churchill-final-summary.pdf,https://www.churchillcountynv.gov/Archive.aspx?ADID=1392,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2024,Clark,route_exhausted_no_artifact,,,https://www.clarkcountynv.gov/government/departments/elections/24p-info,Official 2024 index returns 200 but its result link resolves to the current 2026 ENR; tested 24PE/24P final CVR URL variants return HTTP 404.
2024,Douglas,route_exhausted_no_artifact,,,https://cltr.douglascountynv.gov/elections/results-and-resources,Two official 2024 primary page variants returned HTTP 404; current official results/resources page returned 200 but exposed no 2024 final export.
2024,Elko,route_exhausted_no_artifact,,,https://www.elkocountynv.net/departments/clerk/election_results.php,Official election-results and elections paths returned HTTP 404; indexed official-site search exposed no 2024 primary final document.
2024,Esmeralda,route_exhausted_no_artifact,,,https://www.accessesmeralda.com/,Current official site returns 200 but exposes no election/results links; legacy esmeraldacountynv.org connection fails and indexed official search found no 2024 final document.
2024,Eureka,captured_final,nv-2024-eureka-final-summary,nv/2024/nv-2024-eureka-final-summary.pdf,https://www.eurekacountynv.gov/media/zgonh0ih/eureka2024primarysummaryfinal.pdf,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2024,Humboldt,captured_final,nv-2024-humboldt-final-summary,nv/2024/nv-2024-humboldt-final-summary.pdf,https://www.humboldtcountynv.gov/DocumentCenter/View/7426,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2024,Lander,route_exhausted_no_artifact,,,https://www.landercountynv.org/government/county-clerk/elections,Official elections route returns HTTP 404; indexed official search found no final.
2024,Lincoln,route_exhausted_no_artifact,,,https://lincolncountynv.org/government/county-clerk/elections/,Official elections route returns HTTP 404; indexed official search found no final.
2024,Lyon,captured_final,nv-2024-lyon-final-results,nv/2024/nv-2024-lyon-final-results.pdf,https://www.lyon-county.org/DocumentCenter/View/12792,Supporting final county source captured; statewide totals remain suppressed until all 17 county finals for the cycle are present.
2024,Mineral,route_exhausted_no_artifact,,,https://www.mineralcountynv.us/government/clerk_treasurer/elections.php,Official elections route returns HTTP 404; indexed official search found no final.
