race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-50548ada602a94d636d7,2018-06-26,House of Delegates,District 39,Maryland,MD,https://elections.maryland.gov/elections/archive/2018/results/primary/gen_results_p2018_1_01639.html,verified,Duplicate Gabriel Acevero row resolved to the certified Maryland House of Delegates District 39 Democratic primary.
race-026beb7df1654b4ca5c4,2018-06-12,District Attorney,Clark County,Nevada,NV,https://www.nvsos.gov/sos/elections/election-information/previous-elections/election-results/2018-election-results/2018-primary-election-results,verified,Nevada SOS results confirm the Clark County district attorney primary; office and jurisdiction also match candidate coverage in repo analysis.
race-0defc60b6d18a763a9a6,2019-06-11,City Council,Charlottesville At-Large,Virginia,VA,https://historical.elections.virginia.gov/contest/134368,verified,Virginia historical results confirm the Charlottesville at-large council primary; office and jurisdiction match repo analysis race code va-charlottesville-council-at-large-dem-2019.
race-113c05b3c91fa4d614bf,2018-09-13,Lieutenant Governor,Statewide,New York,NY,https://results.elections.ny.gov/contest/1174,verified,Official New York results confirm the lieutenant governor primary; office also matches the NYC CFB state-primary guide in repo analysis.
race-126843eb8d9937b28ff1,2018-03-06,US House,Congressional District 23,Texas,TX,https://elections.sos.state.tx.us/elchist324_state.htm,verified,Official Texas SOS results confirm the CD23 Democratic primary; office and jurisdiction match queue hint 2018-TX-US-House-D23-DEM.
race-145ef0f5b3eee7d39938,2018-06-05,US Senate,Statewide,Mississippi,MS,https://www.sos.ms.gov/elections-voting/election-results,verified,Official Mississippi election results page covers the statewide U.S. Senate Democratic primary; office and jurisdiction match Mississippi candidate Q&A links in repo analysis.
race-1b273b10a29d54af6b83,2018-05-15,State House,District 168,Pennsylvania,PA,https://www.electionreturns.pa.gov/,verified,Official Pennsylvania returns portal used; office and district are resolved from repo analysis code pa-house-168-dem-2018.
race-3473e276467be8490f7a,2019-10-12,Commissioner of Agriculture and Forestry,Statewide,Louisiana,LA,https://voterportal.sos.la.gov/Graphical,verified,"Official Louisiana results show this contest was for commissioner of agriculture and forestry, correcting the queue's governor label."
race-3db59a6535d2b87f2703,2017-09-12,City Council,District 43,New York,NY,https://www.vote.nyc/page/election-results-summary-2017,verified,Official NYC Board of Elections summary confirms the District 43 council primary; office and jurisdiction match queue hint 2017-NY-NYC-Council-D43.
race-46de282bd5aa28481623,2018-09-13,Governor,Statewide,New York,NY,https://results.elections.ny.gov/contest/1175,verified,Official New York results confirm the governor primary; office also matches the NYC CFB state-primary guide in repo analysis.
race-4e46c62a2ddca032101d,2019-03-05,President of the Board of Aldermen,City of St. Louis,Missouri,MO,https://www.stlouis-mo.gov/government/departments/board-election-commissioners/elections/election.cfm?customel_datapageid_524494=694532,verified,Official St. Louis election page confirms the board president primary; office and jurisdiction match repo analysis code 2019-STL-BOARD-PRESIDENT-DEM.
race-4e8a0f4bc251df040d09,2018-06-05,State House,District 50,Montana,MT,https://electionresults.mt.gov/ResultsList.aspx?eid=16,verified,Official Montana results were used; office and district are resolved from repo analysis code mt-house-50-dem-2018.
race-56a9ee9cf010f2c3e726,2018-08-28,State House,District 18,Arizona,AZ,https://azsos.gov/sites/default/files/2018_Aug_Primary_Election_Official_Canvass.pdf,verified,Official Arizona canvass confirms the LD18 House primary; office matches repo analysis LD18 campaign evidence.
race-591cacda9a0457d12b44,2018-09-13,State Senate,District 18,New York,NY,https://results.elections.ny.gov/contest/1186,verified,Official New York results confirm the Senate District 18 primary; office and jurisdiction also match campaign materials in repo analysis.
race-5984c9799d268a401686,2019-06-11,State Senate,District 35,Virginia,VA,https://www.elections.virginia.gov/resultsreports/election-results/,verified,Official Virginia results page used for the Senate District 35 primary; office and jurisdiction match Yasmine Taeb campaign materials in repo analysis.
race-5f19151fb24a0a026037,2018-05-15,State House,District 21,Pennsylvania,PA,https://www.electionreturns.pa.gov/,verified,Official Pennsylvania returns confirm the House District 21 Democratic primary; office matches Sara Innamorato candidate QA evidence in repo analysis.
