record_id,campaign,endorsement_election_date,office,classification,primary_date,primary_party,state,state_code,jurisdiction,official_election_source,opponents,verification_status,notes
recYOhPRCs5yaapsY,Phoebe Brown,2021-11-02,"Common Council, Ithaca Ward 2",general_only,,,New York,NY,Ithaca Ward 2,https://www.tompkinscountyny.gov/boe/results,Rick Murray,official,Brown and Murray contested the November general election; no Democratic primary contest between them occurred.
recEn5R1iZ2dgG1J8,Fatima Iqbal-Zubair,2022-11-08,CA State Assembly District 65,nonpartisan_primary,2022-06-07,Nonpartisan,California,CA,District 65,https://electionresults.sos.ca.gov/returns/state-assembly,"Lydia Gutierrez; Mike Anthony Gipson",official,California's top-two primary was not a Democratic-party primary.
"recvjWBwHbVQyTgwI","Alex Brower","2021-04-06","School Board, Milwaukee District 5","nonpartisan_primary","2021-02-16","Nonpartisan","Wisconsin","WI","Milwaukee","https://county.milwaukee.gov/EN/County-Clerk/Election-Results","Jilly Gokalgandhi","verified","Matched other-scope race resolves to the Feb. 16, 2021 Milwaukee spring primary for School Board District 5."
"rec559q66D1Sg08xO","Benji Ramirez Gomez","2021-04-06","Common Council, Madison District 2","general_only","","","Wisconsin","WI","Madison","https://www.cityofmadison.com/clerk/elections-voting","April general field","inferred","Madison's official elections page says spring primaries are only for nonpartisan races that need narrowing; no District 2 primary was recovered in the bounded pass."
"recZd7i8IDp84vPi8","Darrin Madison","2021-04-06","Supervisor, Milwaukee County District 12","source_unavailable","","","Wisconsin","WI","Milwaukee County","https://elections.wi.gov/elections/election-results","","source_unavailable","Milwaukee County supervisor races are spring nonpartisan offices, but I did not recover a contest-specific official record confirming whether District 12 had a Feb. 16 primary."
"rec7SG4XgfpQ3vaiP","Tessa Echeverria","2021-04-06","Common Council, Madison District 12","general_only","","","Wisconsin","WI","Madison","https://www.cityofmadison.com/clerk/elections-voting","April general field","inferred","Madison's official elections page gives the spring-primary/spring-election structure; no District 12 primary was recovered in the bounded pass."
"rec2Rg5UtBSGYCjwG","Jen Sarduy","2021-05-01","City Council, Fort Worth District 2","general_only","","","Texas","TX","Fort Worth","https://www.fortworthtexas.gov/departments/citysecretary/elections","May general field","inferred","Fort Worth city-council elections are on the May uniform election date; no separate primary was identified."
"recjHXeLcdICBeBfZ","Joel Richards","2021-09-14","City Council, Boston District 4","nonpartisan_primary","2021-09-14","Nonpartisan","Massachusetts","MA","Boston","https://www.boston.gov/departments/elections/state-and-city-boston-election-results","Brian J. Worrell; Evandro C. Carvalho; Jacob Jaleel Urena; Leonard Lee Sr.; William Edward Dickerson III; Deeqo M. Jibril; Josette K. Williams; Troy A. Smith","verified","Boston's official results page is the source used in the local race-resolution file for the Sept. 14 preliminary."
"recAcpDZztXL02ym0","Abdul Osmanu","2021-11-02","Legislative Council, Hamden District 3","democratic_primary","2021-09-14","Democratic","Connecticut","CT","Hamden","https://electionhistory.ct.gov/","district Democratic field","inferred","Hamden's 2021 municipal primary date aligns with other Hamden Democratic-primary contests in the corpus; exact District 3 roster was not recovered in the bounded pass."
"recboxgNkESeRDtfB","Aisha Chughtai","2021-11-02","City Council, Minneapolis Ward 10","general_only","","","Minnesota","MN","Minneapolis","https://vote.minneapolismn.gov/results-data/election-results/2021/","ranked-choice field","verified","The official 2021 Minneapolis results page says the Nov. 2, 2021 municipal election used ranked-choice voting for municipal offices."
