record_id,campaign,endorsement_election_date,office,classification,primary_date,primary_party,state,state_code,jurisdiction,official_election_source,opponents,verification_status,notes
"reczY4Df8yHkma6r1","Alex Brower","2025-02-18","Milwaukee Common Council, District 3","nonpartisan_primary","2025-02-18","Nonpartisan","Wisconsin","WI","Milwaukee","","Alexander Kostal | Bryant Junco | Daniel Bauman | Frank Ferrante | Ieshuh Griffin | Josh Anderson | Nasser (Nas) Musa","inferred","Matched to the eight-candidate 2025-02-18 Milwaukee District 3 nonpartisan race in local corpus; no official race URL was recovered in the bounded pass."
"rec0hr8T0Jp3xZnsH","Maryah Lauer","2025-04-01","Colorado Springs City Council, District 3","general_only","","","Colorado","CO","Colorado Springs","","","inferred","Treated as Colorado Springs' regular nonpartisan April municipal election; no separate primary was located in the bounded pass."
"reciWW5o3Sg5OjAgj","Jorge DeFendini","2025-06-24","Alderperson Ward 1, Ithaca Common Council","democratic_primary","2025-06-24","Democratic","New York","NY","Ithaca","","","inferred","June 24 aligns with New York's local Democratic primary date for partisan local offices; candidate-specific official source was not retrieved."
"recsdRN9yNMEfgKkl","Tammy Honeywell","2025-06-24","Onondaga County Legislature, District 8","democratic_primary","2025-06-24","Democratic","New York","NY","Onondaga County","","Chad Ryan","inferred","Matched to local corpus Democratic primary race against Chad Ryan; official candidate list was not recovered."
"rececXGWuj2OpabFK","Denzel McCampbell","2025-08-05","Detroit City Council, District 7","nonpartisan_primary","2025-08-05","Nonpartisan","Michigan","MI","Detroit","","Bobbi Johnson | Karen Whitsett | Regina Ross","inferred","Matched to a four-candidate Detroit nonpartisan August primary in local corpus; official race URL was not recovered."
"recUnv6j1jzrj1hzI","Willie Burnley Jr.","2025-09-16","Mayor of Somerville, MA","nonpartisan_primary","2025-09-16","Nonpartisan","Massachusetts","MA","Somerville","https://www.somervillema.gov/news/somerville-voting-information-city-preliminary-election","Jacob Wilson | Katjana Ballantyne","verified","Somerville's official page identifies the 2025-09-16 city preliminary election and includes the mayor's race."
"recWDoySwlwG8jPNs","Adam Schneider","2025-11-04","Minneapolis Park and Recreation Board, At-Large","general_only","","","Minnesota","MN","Minneapolis","https://vote.minneapolismn.gov/","","inferred","Minneapolis municipal cycle treated as ranked-choice general election with no separate primary located in the bounded pass."
"reciWNUD0gbIUsAXx","Ayah Al-Zubi","2025-11-04","Cambridge City Council","general_only","","","Massachusetts","MA","Cambridge","https://www.cambridgema.gov/departments/electioncommission/news/2025/09/2025municipalelectionvotingoptions","","verified","Cambridge's official municipal-election page describes the November 4 city election and PR city-council voting; no primary is identified."
"recPfQFts8ZeRYMA5","Daniel Atonna","2025-11-04","Poughkeepsie Common Council, Ward 8","democratic_primary","2025-06-24","Democratic","New York","NY","Poughkeepsie","https://elections.dutchessny.gov/wp-content/uploads/2025/06/PE25-Candidate-Notice.pdf","Sakima AG. McClinton","verified","Dutchess County BOE primary candidate notice identifies the Ward 8 Democratic primary."
"recLuXlurRN0Jq5FU","Danny Nowell","2025-11-04","Carrboro Town Council","general_only","","","North Carolina","NC","Carrboro","","","inferred","Treated as Carrboro's November municipal general election; no separate primary source was retrieved."
