race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-02c4c65549e1b95a5ad9,2021-05-18,City Council At-Large,Allentown,Pennsylvania,PA,https://www.lehighcounty.org/Departments/Voter-Registration/Election-Results,verified,"The repository candidate set matches the nine-candidate May 18, 2021 Allentown City Council Democratic primary for four at-large nominations."
race-04cb327196963b09ba9f,2021-06-22,Common Council,Albany Ward 6,New York,NY,https://www.albanycounty.com/departments/board-of-elections/election-results,verified,"Official Albany County primary results page covers the June 22, 2021 Common Council Ward 6 contest."
race-04f4b140e43f16fb25b0,2021-08-03,City Council,Lansing Ward 2,Michigan,MI,https://cl.ingham.org/Departments/CountyClerk/Elections/ArchivedElectionData/2021ElectionInformation.aspx,verified,Official Ingham County 2021 election page covers the Lansing Ward 2 primary.
race-0650530eb5458097dae5,2021-08-03,US House,District 11,Ohio,OH,https://www.ohiosos.gov/elections/election-results-and-data/2021-official-canvass/august-3-2021/,verified,"Official Ohio Secretary of State August 3, 2021 canvass covers the U.S. House District 11 Democratic special primary."
race-070b37bae80f159ff674,2021-02-16,School Board,Milwaukee Public Schools Board,Wisconsin,WI,https://county.milwaukee.gov/EN/County-Clerk/Election-Results,verified,Official Milwaukee County spring-primary results list Milwaukee Board of School Directors District 5.
race-07e8c0f659f04a7168be,2021-08-10,City Council,Duluth At-Large,Minnesota,MN,https://duluthmn.gov/media/11846/2021-primary-precinct-results-city-wide.pdf,verified,Official City of Duluth primary-results PDF covers the at-large city-council contest.
race-0b648ab38046db8ff140,2021-06-22,County Legislature,Ulster County District 6,New York,NY,https://elections.ulstercountyny.gov/results/,verified,"Official Ulster County primary results page covers the June 22, 2021 County Legislature District 6 contest."
race-0de2ddb13df7ec856a27,2021-06-22,City Council,Poughkeepsie At-Large,New York,NY,https://www.elections.dutchessny.gov/election-results/,verified,"Official Dutchess County primary results page covers the June 22, 2021 Poughkeepsie city-council at-large contest."
race-0e827af23fd1b67250ce,2021-08-03,Mayor,Lansing,Michigan,MI,https://cl.ingham.org/Departments/CountyClerk/Elections/ArchivedElectionData/2021ElectionInformation.aspx,verified,Official Ingham County 2021 election page covers the Lansing mayoral primary.
race-0ef60b3e6338b2638ff2,2021-08-24,City Council,St. Petersburg District 8,Florida,FL,https://www.votepinellas.com/Election-Results/2021-St-Petersburg-Primary-Election-Results,verified,"Official Pinellas County results page covers the August 24, 2021 St. Petersburg District 8 primary."
race-118f532f469a0fced428,2021-05-18,Magisterial District Judge,Magisterial District 05-3-10,Pennsylvania,PA,https://results.enr.clarityelections.com/PA/Allegheny/110769/web.264614/#/summary,verified,"Official Allegheny County results and the repository race hint identify Magisterial District 05-3-10."
race-11b2afab91d000318469,2022-08-23,State Senate,District 21,New York,NY,https://results.elections.ny.gov/document/132,verified,"Official NYS Board of Elections August 23, 2022 primary document covers State Senate District 21."
race-1222367a071612c7736a,2021-06-22,City Council,District 38,New York,NY,https://www.vote.nyc/page/election-results-summary-2021,verified,Official NYC Board of Elections 2021 primary results page covers City Council District 38.
race-16d397610d7e59470898,2021-02-16,County Supervisor,Milwaukee County District 10,Wisconsin,WI,https://county.milwaukee.gov/files/county/county-clerk/Election-Commission/ElectionResultsCopy-1/2021/BoardofCanvassStatementCounty-signed.pdf,verified,Official Milwaukee County board-of-canvass statement lists the one-year-term County Supervisor District 10 primary.
race-1746d4d5babab5e5d1cd,2022-09-13,Board of Aldermen President,St. Louis,Missouri,MO,https://www.stlouis-mo.gov/government/departments/board-election-commissioners/elections/results/past-years.cfm,verified,"Official St. Louis Board of Election Commissioners archive covers the September 13, 2022 special election for Board President."
race-183cee175deff89674c1,2022-05-17,State House,District 43,Kentucky,KY,https://elect.ky.gov/results/2020-2029/Pages/2022.aspx,verified,Official Kentucky primary results page covers House District 43.
race-1a63cae0504360d8eb38,2022-05-17,US House,District 4,Oregon,OR,https://results.oregonvotes.gov/ResultsSW.aspx?type=CTYALL&cty=00&map=CTY,verified,"Official Oregon May 17, 2022 primary results page covers U.S. House District 4."
race-1af451a3ce317a50f4f1,2021-09-14,City Council,Boston District 4,Massachusetts,MA,https://www.boston.gov/departments/elections/state-and-city-boston-election-results,verified,Official Boston preliminary-election results page covers the 2021 District 4 city-council race.
race-1b141d6fe80a6b092dc9,2022-06-28,State Assembly,District 103,New York,NY,https://results.elections.ny.gov/document/131,verified,"Official NYS Board of Elections June 28, 2022 primary document covers Assembly District 103."
race-1e3efde0247356c47dbb,2022-06-28,County Commissioner,Cook County District 8,Illinois,IL,https://www.cookcountyclerkil.gov/elections/election-results-archive-1998-2026,verified,"Official Cook County Clerk election-results archive covers the June 28, 2022 Democratic primary for County Commissioner District 8."
race-1fd5827f1c16c0d86383,2022-03-01,US House,District 30,Texas,TX,https://teamrv-mvp.sos.texas.gov/MVP/qcandidates.asp?el=20220301,verified,"Official Texas SOS candidate/results portal covers the March 1, 2022 U.S. House District 30 Democratic primary."
race-29704c58690113fb2a50,2022-08-23,State Senate,District 59,New York,NY,https://results.elections.ny.gov/document/132,verified,"Official NYS Board of Elections August 23, 2022 primary document covers State Senate District 59."
race-2ad627f1f643d221f19f,2021-06-22,New York City Council,District 14,New York,NY,https://www.vote.nyc/page/election-results-summary-2021,verified,Official NYC Board of Elections 2021 primary results page covers City Council District 14.
race-2ea8c35c5f98b117696b,2021-08-03,City Clerk,Detroit,Michigan,MI,https://detroitmi.gov/government/departments/elections/results-archive,verified,"Official Detroit elections archive covers the August 3, 2021 city-clerk primary."
race-2ecff9498c2feda5de76,2022-08-09,State House,Chittenden 15,Vermont,VT,https://electionarchive.vermont.gov/,verified,"Official Vermont Elections Database covers the August 9, 2022 State Representative Chittenden 15 Democratic primary."
race-3363a35e7979bec3ed7e,2022-06-28,Common Council,Ithaca Ward 4,New York,NY,https://www.tompkinscountyny.gov/boe/results,verified,"Official Tompkins County Board of Elections results database covers the June 28, 2022 Ithaca Common Council Ward 4 Democratic primary."
race-3a50f4e7ad1567ae0820,2022-06-28,State Assembly,District 50,New York,NY,https://results.elections.ny.gov/document/131,verified,"Official NYS Board of Elections June 28, 2022 primary document covers Assembly District 50."
race-3abbb30ca77835052430,2022-08-09,State House,Minnesota District 63A,Minnesota,MN,https://electionresults.sos.state.mn.us/Results/StateRepresentative/1?districtid=563A,verified,Official Minnesota primary results page covers House District 63A.
race-3ba2bec0d19c64a42d5b,2022-08-09,State House,Minnesota District 41A,Minnesota,MN,https://electionresults.sos.state.mn.us/Results/StateRepresentative/1?districtid=541A,verified,Official Minnesota primary results page covers House District 41A.
race-3d4a968ce106f259b80d,2021-05-18,City Council,Allegheny County District 3,Pennsylvania,PA,https://results.enr.clarityelections.com/PA/Allegheny/110769/web.264614/#/summary,source_unavailable,"Official Allegheny County results were located, but the queue office/jurisdiction did not align cleanly with accessible official contest labels."
race-41ad8ea70f3bdbc7e4e4,2022-03-01,Judge,Harris County Criminal Court at Law No. 8,Texas,TX,https://www.harrisvotes.com/Candidates/Candidate-Listings/Democratic-Primary-Candidates,verified,Official Texas/Harris County Democratic-primary listings cover the Criminal Court at Law No. 8 contest.
race-431f8b55628db7cfe4be,2022-07-19,State House,Delegates D43A,Maryland,MD,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_7_63_Democratic_District%2043A.html,verified,Official Maryland primary results page covers House of Delegates District 43A.
race-4a19411701e40165da88,2022-09-06,State Representative,4th Barnstable District,Massachusetts,MA,https://electionstats.state.ma.us/elections/view/152583/,verified,"Official Massachusetts election results page covers the September 6, 2022 Democratic primary for State Representative, 4th Barnstable."
race-4a705a0766bb6d4c5478,2021-06-22,City Council,Newburgh Ward 1,New York,NY,https://www.orangecountygov.com/DocumentCenter/View/20576/PE21---Candidate-Listing-PDF,verified,"Official Orange County primary materials identify Giselle Martinez and Sonya D. Grant in the Newburgh Ward 1 Democratic primary."
race-4add975df09b0b0aaa6d,2022-08-02,US House,Missouri District 1,Missouri,MO,https://enr.sos.mo.gov/ReturnsOfficeRaces.aspx?oeid=750003954&cty=99&oid=38&arc=,verified,Official Missouri results page covers U.S. House District 1.
race-4afc66bae06154e36ec3,2022-06-28,US House,District 10,Illinois,IL,https://www.elections.il.gov/electionoperations/ElectionVoteTotalsSearch.aspx,source_unavailable,"Official Illinois results for the likely U.S. House contest list Brad Schneider, but do not list Adam Broad on the certified ballot."
race-4e0ada02ef4cde424267,2022-07-19,County Council,Montgomery County At-Large,Maryland,MD,https://www.montgomerycountymd.gov/Elections/Results/2022/Primary/county_council_at_large.html,verified,Official Montgomery County primary results page covers the county-council at-large contest.
race-558960c0224035d1fd83,2022-08-23,State Senate,District 25,New York,NY,https://results.elections.ny.gov/document/132,verified,"Official NYS Board of Elections August 23, 2022 primary document covers State Senate District 25."
race-579cd47b961c0dc2fe36,2022-06-07,State Assembly,District 65,California,CA,https://electionresults.sos.ca.gov/returns/state-assembly,verified,Official California Secretary of State returns cover Assembly District 65.
race-57e2d6b0e33ba222fd92,2021-09-14,City Council,Boston District 6,Massachusetts,MA,https://www.boston.gov/departments/elections/state-and-city-boston-election-results,verified,Official Boston preliminary-election results page covers the 2021 District 6 city-council race.
race-5ba9477febab5af3e898,2022-08-09,State House,Minnesota District 66B,Minnesota,MN,https://electionresults.sos.state.mn.us/Results/StateRepresentative/1?districtid=566B,verified,Official Minnesota primary results page covers House District 66B.
race-5db7edca6b190a1d4c39,2022-06-21,Councilmember,Ward 5,District of Columbia,DC,https://electionresults.dcboe.org/election_results/2022-Primary-Election,verified,Official DC Board of Elections results page covers the Ward 5 Democratic primary.
race-60a20e415203eadd2b99,2021-06-22,City Council,District 39,New York,NY,https://www.vote.nyc/page/election-results-summary-2021,verified,Official NYC Board of Elections 2021 primary results page covers City Council District 39.
race-61dff94dedb2b01f7999,2021-03-02,Alderperson,St. Louis Ward 15,Missouri,MO,https://www.stlouis-mo.gov/government/departments/board-election-commissioners/elections/results/past-years.cfm,verified,"Official St. Louis Board of Election Commissioners archive covers the March 2, 2021 municipal primary for Ward 15."
race-63523454c44d7106fb43,2022-06-28,State Assembly,District 65,New York,NY,https://results.elections.ny.gov/document/131,verified,"Official NYS Board of Elections June 28, 2022 primary document covers Assembly District 65."
race-65136bae40d3d3d9d35a,2021-06-22,City Council,District 35,New York,NY,https://www.vote.nyc/page/election-results-summary-2021,verified,Official NYC Board of Elections 2021 primary results page covers City Council District 35.
race-66a798375c1e65a7cd63,2021-02-16,School Board,Milwaukee Public Schools Board District 4,Wisconsin,WI,https://mint.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2021-February-16th-Spring-Primary.pdf,verified,Official Milwaukee County spring-primary summary lists Milwaukee Board of School Directors District 4.
race-6aab05ad42328552fc9e,2022-05-17,State Senate,District 8,Pennsylvania,PA,https://www.electionreturns.pa.gov/Home/SummaryResults?ElectionID=94&ElectionType=P&IsActive=0,verified,Official Pennsylvania primary results page covers State Senate District 8.
race-6c98bb2fc5fe3ff2da6f,2022-06-28,State Assembly,District 92,New York,NY,https://results.elections.ny.gov/document/131,verified,"Official NYS Board of Elections June 28, 2022 primary document covers Assembly District 92."
race-6ca0cac667cb09f82cd7,2022-06-28,State Assembly,District 68,New York,NY,https://results.elections.ny.gov/document/131,verified,"Official NYS Board of Elections June 28, 2022 primary document covers Assembly District 68."
race-6d54288abb793fe9d3a8,2022-08-09,State House,Chittenden 16,Vermont,VT,https://electionarchive.vermont.gov/,verified,"Official Vermont Elections Database covers the August 9, 2022 State Representative Chittenden 16 Democratic primary."
race-70174b009240792ba021,2022-06-07,City Council,District 13,California,CA,https://results.lavote.gov/#year=2022&election=4300,verified,Official Los Angeles County results dashboard covers City Council District 13.
race-724ef5d41ff708f8ef45,2022-06-28,State House,Colorado District 1,Colorado,CO,https://www.coloradosos.gov/pubs/elections/Results/Abstract/2022/primary/democratic/stateRepresentatives.html,verified,Official Colorado Democratic-primary results page covers House District 1.
race-729c8dc2a2c48df272ec,2021-06-22,City Council,Beacon Ward 4,New York,NY,https://elections.dutchessny.gov/wp-content/uploads/2022/01/PE21-Results.pdf,verified,"Official Dutchess County primary results do not list Dan Aymar-Blair; repository evidence identifies his office as Beacon City Council Ward 4 and the row is separately classified general-only."
race-7abc41a08fe8e114fb4c,2022-05-17,State House,District 184,Pennsylvania,PA,https://www.electionreturns.pa.gov/Home/SummaryResults?ElectionID=94&ElectionType=P&IsActive=0,verified,Official Pennsylvania primary results page covers State Representative District 184.
