race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-3b9a8d1c4fa2cbcadb73,2026-08-04,US House,District 4,Missouri,MO,https://enr.sos.mo.gov/PickaRace.aspx,verified,Missouri's official results portal and repository endorsement evidence identify Hartzell Gray in the District 4 Democratic primary.
race-7081dbc3d51dd48bb991,2026-05-19,State House,District 43,Kentucky,KY,https://elect.ky.gov/results/2020-2029/Pages/2026.aspx,verified,Repository office evidence and Kentucky's official 2026 results archive identify Robert LeVertis Bell in House District 43.
race-0159b30b2abfcca8ea6b,2025-06-24,City Council,District 38,New York,NY,,source_unavailable,"Jim Owles questionnaire identifies City Council District 38, but no official or candidate-controlled source was located."
race-0238993b2ccb424dc347,2026-08-04,US House,District 12,Michigan,MI,https://tlaib.house.gov/,verified,Verified from Rashida Tlaib's official House page (MI-12).
race-0b902d615156cfc70e34,2026-06-16,City Council,Ward 1,District of Columbia,DC,https://electionresults.dcboe.org/election_results/2026-Primary-Election,verified,Verified from DC Board of Elections 2026 primary results for Ward 1 Member of the Council.
race-0deb7056246c06a2c331,2026-03-17,State Senate,District 33,Illinois,IL,https://www.elections.il.gov/ElectionOperations/CandidateList.aspx?ElectionID=Z2J%2FvYpKX8w%3D&OfficeID=Unad%2BrNH%2B3%2FWbI0eJdZR8g%3D%3D,verified,Verified from Illinois State Board of Elections candidate list; Satnaam Mago later withdrew and did not appear on the final ballot.
race-1018572bbe0d5cb327c4,2025-06-24,Mayor,Rochester,New York,NY,,source_unavailable,"WXXI interviews identify the Rochester mayoral primary, but no official or candidate-controlled source was located."
race-14d53ce965776b0cb235,2026-03-03,Justice of the Peace,Precinct 1 (Travis County),Texas,TX,,source_unavailable,Only third-party election references located for Travis County Justice of the Peace Precinct 1; no official or candidate-controlled source found.
race-1619e17f83ec30198cc9,2026-09-01,State Representative,25th Middlesex,Massachusetts,MA,https://www.sec.state.ma.us/divisions/elections/research-and-statistics/dem-state-primary-candidates2026.htm,verified,Verified from the Massachusetts 2026 Democratic state-primary candidate list.
race-22a899eddaf5c65171b5,2026-06-09,State Assembly,District 10,Nevada,NV,https://votekarris.com/,verified,Verified from opponent Venise Karris's campaign page identifying Assembly District 10.
