source_pdf,page,chamber,district,primary_party,candidate_name,candidate_source_id,declared_party,write_in,votes,contest_total
wi-2026-partisan-primary-summary.pdf,5,House,01,Republican,Bryan Steil,wi-2026-house-01-republican-1,Republican,False,50915,51119
wi-2026-partisan-primary-summary.pdf,5,House,01,Republican,SCATTERING,wi-2026-house-01-republican-2,,True,204,51119
wi-2026-partisan-primary-summary.pdf,5,House,01,Democratic,Peter Burgelis,wi-2026-house-01-democratic-1,Democratic,False,15455,71403
wi-2026-partisan-primary-summary.pdf,5,House,01,Democratic,Lorenzo J. Santos,wi-2026-house-01-democratic-2,Democratic,False,14590,71403
wi-2026-partisan-primary-summary.pdf,5,House,01,Democratic,Mitchell Berman,wi-2026-house-01-democratic-3,Democratic,False,31494,71403
wi-2026-partisan-primary-summary.pdf,5,House,01,Democratic,Miguel Aranda,wi-2026-house-01-democratic-4,Democratic,False,9701,71403
wi-2026-partisan-primary-summary.pdf,5,House,01,Democratic,SCATTERING,wi-2026-house-01-democratic-5,,True,163,71403
wi-2026-partisan-primary-summary.pdf,5,House,01,Constitution,SCATTERING,wi-2026-house-01-constitution-1,,True,13,13
wi-2026-partisan-primary-summary.pdf,5,House,01,Libertarian,SCATTERING,wi-2026-house-01-libertarian-1,,True,7,7
wi-2026-partisan-primary-summary.pdf,5,House,01,Wisconsin Green,SCATTERING,wi-2026-house-01-wisconsin-green-1,,True,12,12
wi-2026-partisan-primary-summary.pdf,5,House,02,Republican,SCATTERING,wi-2026-house-02-republican-1,,True,1179,1179
wi-2026-partisan-primary-summary.pdf,5,House,02,Democratic,Douglas Alexander,wi-2026-house-02-democratic-1,Democratic,False,19610,164183
wi-2026-partisan-primary-summary.pdf,5,House,02,Democratic,Mark Pocan,wi-2026-house-02-democratic-2,Democratic,False,144365,164183
wi-2026-partisan-primary-summary.pdf,6,House,02,Democratic,SCATTERING,wi-2026-house-02-democratic-3,,True,208,164183
wi-2026-partisan-primary-summary.pdf,6,House,02,Constitution,SCATTERING,wi-2026-house-02-constitution-1,,True,3,3
wi-2026-partisan-primary-summary.pdf,6,House,02,Libertarian,SCATTERING,wi-2026-house-02-libertarian-1,,True,14,14
wi-2026-partisan-primary-summary.pdf,6,House,02,Wisconsin Green,SCATTERING,wi-2026-house-02-wisconsin-green-1,,True,4,4
wi-2026-partisan-primary-summary.pdf,6,House,03,Republican,Derrick Van Orden,wi-2026-house-03-republican-1,Republican,False,56948,57523
wi-2026-partisan-primary-summary.pdf,6,House,03,Republican,SCATTERING,wi-2026-house-03-republican-2,,True,575,57523
wi-2026-partisan-primary-summary.pdf,6,House,03,Democratic,Rebecca Cooke,wi-2026-house-03-democratic-1,Democratic,False,56650,93673
wi-2026-partisan-primary-summary.pdf,6,House,03,Democratic,Emily Berge,wi-2026-house-03-democratic-2,Democratic,False,36958,93673
wi-2026-partisan-primary-summary.pdf,6,House,03,Democratic,SCATTERING,wi-2026-house-03-democratic-3,,True,65,93673
wi-2026-partisan-primary-summary.pdf,6,House,03,Constitution,SCATTERING,wi-2026-house-03-constitution-1,,True,12,12
wi-2026-partisan-primary-summary.pdf,6,House,03,Libertarian,SCATTERING,wi-2026-house-03-libertarian-1,,True,15,15
wi-2026-partisan-primary-summary.pdf,6,House,03,Wisconsin Green,SCATTERING,wi-2026-house-03-wisconsin-green-1,,True,5,5
wi-2026-partisan-primary-summary.pdf,7,House,04,Republican,Purnima Nath,wi-2026-house-04-republican-1,Republican,False,2356,12480
wi-2026-partisan-primary-summary.pdf,7,House,04,Republican,Tim Rogers,wi-2026-house-04-republican-2,Republican,False,10079,12480
wi-2026-partisan-primary-summary.pdf,7,House,04,Republican,SCATTERING,wi-2026-house-04-republican-3,,True,45,12480
wi-2026-partisan-primary-summary.pdf,7,House,04,Democratic,Amy Donahue,wi-2026-house-04-democratic-1,Democratic,False,31707,113613
wi-2026-partisan-primary-summary.pdf,7,House,04,Democratic,Gwen Moore,wi-2026-house-04-democratic-2,Democratic,False,81707,113613
wi-2026-partisan-primary-summary.pdf,7,House,04,Democratic,SCATTERING,wi-2026-house-04-democratic-3,,True,199,113613
wi-2026-partisan-primary-summary.pdf,7,House,04,Constitution,SCATTERING,wi-2026-house-04-constitution-1,,True,16,16
wi-2026-partisan-primary-summary.pdf,7,House,04,Libertarian,SCATTERING,wi-2026-house-04-libertarian-1,,True,17,17
wi-2026-partisan-primary-summary.pdf,7,House,04,Wisconsin Green,SCATTERING,wi-2026-house-04-wisconsin-green-1,,True,16,16
wi-2026-partisan-primary-summary.pdf,7,House,05,Republican,Scott Fitzgerald,wi-2026-house-05-republican-1,Republican,False,76702,76904
wi-2026-partisan-primary-summary.pdf,7,House,05,Republican,SCATTERING,wi-2026-house-05-republican-2,,True,202,76904
wi-2026-partisan-primary-summary.pdf,7,House,05,Democratic,Andrew Beck,wi-2026-house-05-democratic-1,Democratic,False,64504,64688
wi-2026-partisan-primary-summary.pdf,7,House,05,Democratic,SCATTERING,wi-2026-house-05-democratic-2,,True,184,64688
wi-2026-partisan-primary-summary.pdf,8,House,05,Constitution,SCATTERING,wi-2026-house-05-constitution-1,,True,7,7
wi-2026-partisan-primary-summary.pdf,8,House,05,Libertarian,SCATTERING,wi-2026-house-05-libertarian-1,,True,6,6
wi-2026-partisan-primary-summary.pdf,8,House,05,Wisconsin Green,SCATTERING,wi-2026-house-05-wisconsin-green-1,,True,4,4
wi-2026-partisan-primary-summary.pdf,8,House,06,Republican,Glenn Grothman,wi-2026-house-06-republican-1,Republican,False,63462,63668
wi-2026-partisan-primary-summary.pdf,8,House,06,Republican,SCATTERING,wi-2026-house-06-republican-2,,True,206,63668
wi-2026-partisan-primary-summary.pdf,8,House,06,Democratic,Amanda Bell,wi-2026-house-06-democratic-1,Democratic,False,36046,72568
wi-2026-partisan-primary-summary.pdf,8,House,06,Democratic,Brad Smith,wi-2026-house-06-democratic-2,Democratic,False,36413,72568
wi-2026-partisan-primary-summary.pdf,8,House,06,Democratic,SCATTERING,wi-2026-house-06-democratic-3,,True,109,72568
wi-2026-partisan-primary-summary.pdf,8,House,06,Constitution,SCATTERING,wi-2026-house-06-constitution-1,,True,1,1
wi-2026-partisan-primary-summary.pdf,8,House,06,Libertarian,SCATTERING,wi-2026-house-06-libertarian-1,,True,12,12
wi-2026-partisan-primary-summary.pdf,8,House,06,Wisconsin Green,Matthew Arndt,wi-2026-house-06-wisconsin-green-1,Wisconsin Green,False,62,62
wi-2026-partisan-primary-summary.pdf,8,House,06,Wisconsin Green,SCATTERING,wi-2026-house-06-wisconsin-green-2,,True,0,62
wi-2026-partisan-primary-summary.pdf,9,House,07,Republican,Don Raihala,wi-2026-house-07-republican-1,Republican,False,3926,101558
wi-2026-partisan-primary-summary.pdf,9,House,07,Republican,Michael Alfonso,wi-2026-house-07-republican-2,Republican,False,49720,101558
wi-2026-partisan-primary-summary.pdf,9,House,07,Republican,Jessi Ebben,wi-2026-house-07-republican-3,Republican,False,15937,101558
wi-2026-partisan-primary-summary.pdf,9,House,07,Republican,Kevin Hermening,wi-2026-house-07-republican-4,Republican,False,27009,101558
wi-2026-partisan-primary-summary.pdf,9,House,07,Republican,Niina Baum,wi-2026-house-07-republican-5,Republican,False,4893,101558
wi-2026-partisan-primary-summary.pdf,9,House,07,Republican,SCATTERING,wi-2026-house-07-republican-6,,True,73,101558
