contest_id,state_code,cycle,election_date,stage,chamber,district,term,election_system,primary_party,candidate_count,unopposed,actual_zero_rows,has_write_in,result_status,certification_status,source_id
la-2024-11-05-house-01-regular-all,LA,2024,2024-11-05,nonpartisan_primary,House,01,regular,nonpartisan_open_primary,,5,False,0,False,actual_numeric,official,la-2024-open-congressional-primary
la-2024-11-05-house-02-regular-all,LA,2024,2024-11-05,nonpartisan_primary,House,02,regular,nonpartisan_open_primary,,5,False,0,False,actual_numeric,official,la-2024-open-congressional-primary
la-2024-11-05-house-03-regular-all,LA,2024,2024-11-05,nonpartisan_primary,House,03,regular,nonpartisan_open_primary,,4,False,0,False,actual_numeric,official,la-2024-open-congressional-primary
la-2024-11-05-house-04-regular-all,LA,2024,2024-11-05,nonpartisan_primary,House,04,regular,nonpartisan_open_primary,,2,False,0,False,actual_numeric,official,la-2024-open-congressional-primary
la-2024-11-05-house-05-regular-all,LA,2024,2024-11-05,nonpartisan_primary,House,05,regular,nonpartisan_open_primary,,3,False,0,False,actual_numeric,official,la-2024-open-congressional-primary
la-2024-11-05-house-06-regular-all,LA,2024,2024-11-05,nonpartisan_primary,House,06,regular,nonpartisan_open_primary,,5,False,0,False,actual_numeric,official,la-2024-open-congressional-primary
la-2026-05-16-senate-s-regular-democratic,LA,2026,2026-05-16,primary,Senate,S,regular,partisan_primary,Democratic,3,False,0,False,actual_numeric,official,la-2026-senate-party-primary
la-2026-05-16-senate-s-regular-republican,LA,2026,2026-05-16,primary,Senate,S,regular,partisan_primary,Republican,4,False,0,False,actual_numeric,official,la-2026-senate-party-primary
la-2026-06-27-senate-s-regular-democratic,LA,2026,2026-06-27,primary_runoff,Senate,S,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,la-2026-senate-second-party-primary
la-2026-06-27-senate-s-regular-republican,LA,2026,2026-06-27,primary_runoff,Senate,S,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,la-2026-senate-second-party-primary
ms-2024-03-12-house-01-regular-democratic,MS,2024,2024-03-12,primary,House,01,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ms-2024-democratic-primary-recap
ms-2024-03-12-house-01-regular-republican,MS,2024,2024-03-12,primary,House,01,regular,partisan_primary,Republican,1,True,0,False,actual_numeric,official,ms-2024-republican-primary-recap
ms-2024-03-12-house-02-regular-democratic,MS,2024,2024-03-12,primary,House,02,regular,partisan_primary,Democratic,1,True,0,False,actual_numeric,official,ms-2024-democratic-primary-recap
ms-2024-03-12-house-02-regular-republican,MS,2024,2024-03-12,primary,House,02,regular,partisan_primary,Republican,3,False,0,False,actual_numeric,official,ms-2024-republican-primary-recap
ms-2024-03-12-house-03-regular-republican,MS,2024,2024-03-12,primary,House,03,regular,partisan_primary,Republican,1,True,0,False,actual_numeric,official,ms-2024-republican-primary-recap
ms-2024-03-12-house-04-regular-democratic,MS,2024,2024-03-12,primary,House,04,regular,partisan_primary,Democratic,1,True,0,False,actual_numeric,official,ms-2024-democratic-primary-recap
ms-2024-03-12-house-04-regular-republican,MS,2024,2024-03-12,primary,House,04,regular,partisan_primary,Republican,3,False,0,False,actual_numeric,official,ms-2024-republican-primary-recap
ms-2024-03-12-senate-s-regular-democratic,MS,2024,2024-03-12,primary,Senate,S,regular,partisan_primary,Democratic,1,True,0,False,actual_numeric,official,ms-2024-democratic-primary-recap
ms-2024-03-12-senate-s-regular-republican,MS,2024,2024-03-12,primary,Senate,S,regular,partisan_primary,Republican,3,False,0,False,actual_numeric,official,ms-2024-republican-primary-recap
ms-2024-04-02-house-02-regular-republican,MS,2024,2024-04-02,primary_runoff,House,02,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ms-2024-republican-primary-runoff-recap
ms-2026-03-10-house-01-regular-democratic,MS,2026,2026-03-10,primary,House,01,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ms-2026-democratic-primary-recap
ms-2026-03-10-house-01-regular-republican,MS,2026,2026-03-10,primary,House,01,regular,partisan_primary,Republican,1,True,0,False,actual_numeric,official,ms-2026-republican-primary-recap
ms-2026-03-10-house-02-regular-democratic,MS,2026,2026-03-10,primary,House,02,regular,partisan_primary,Democratic,3,False,0,False,actual_numeric,official,ms-2026-democratic-primary-recap
ms-2026-03-10-house-02-regular-republican,MS,2026,2026-03-10,primary,House,02,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ms-2026-republican-primary-recap
ms-2026-03-10-house-03-regular-democratic,MS,2026,2026-03-10,primary,House,03,regular,partisan_primary,Democratic,1,True,0,False,actual_numeric,official,ms-2026-democratic-primary-recap
ms-2026-03-10-house-03-regular-republican,MS,2026,2026-03-10,primary,House,03,regular,partisan_primary,Republican,1,True,0,False,actual_numeric,official,ms-2026-republican-primary-recap
ms-2026-03-10-house-04-regular-democratic,MS,2026,2026-03-10,primary,House,04,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ms-2026-democratic-primary-recap
ms-2026-03-10-house-04-regular-republican,MS,2026,2026-03-10,primary,House,04,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ms-2026-republican-primary-recap
ms-2026-03-10-senate-s-regular-democratic,MS,2026,2026-03-10,primary,Senate,S,regular,partisan_primary,Democratic,3,False,0,False,actual_numeric,official,ms-2026-democratic-primary-recap
ms-2026-03-10-senate-s-regular-republican,MS,2026,2026-03-10,primary,Senate,S,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ms-2026-republican-primary-recap
ok-2024-06-18-house-01-regular-democratic,OK,2024,2024-06-18,primary,House,01,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2024-june-primary-results
ok-2024-06-18-house-01-regular-republican,OK,2024,2024-06-18,primary,House,01,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ok-2024-june-primary-results
ok-2024-06-18-house-03-regular-republican,OK,2024,2024-06-18,primary,House,03,regular,partisan_primary,Republican,3,False,0,False,actual_numeric,official,ok-2024-june-primary-results
ok-2024-06-18-house-04-regular-democratic,OK,2024,2024-06-18,primary,House,04,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2024-june-primary-results
ok-2024-06-18-house-04-regular-republican,OK,2024,2024-06-18,primary,House,04,regular,partisan_primary,Republican,5,False,0,False,actual_numeric,official,ok-2024-june-primary-results
ok-2026-06-16-house-01-regular-republican,OK,2026,2026-06-16,primary,House,01,regular,partisan_primary,Republican,11,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-02-regular-democratic,OK,2026,2026-06-16,primary,House,02,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-02-regular-republican,OK,2026,2026-06-16,primary,House,02,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-03-regular-democratic,OK,2026,2026-06-16,primary,House,03,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-03-regular-republican,OK,2026,2026-06-16,primary,House,03,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-04-regular-democratic,OK,2026,2026-06-16,primary,House,04,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-04-regular-republican,OK,2026,2026-06-16,primary,House,04,regular,partisan_primary,Republican,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-house-05-regular-democratic,OK,2026,2026-06-16,primary,House,05,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-senate-s-regular-democratic,OK,2026,2026-06-16,primary,Senate,S,regular,partisan_primary,Democratic,5,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-06-16-senate-s-regular-republican,OK,2026,2026-06-16,primary,Senate,S,regular,partisan_primary,Republican,5,False,0,False,actual_numeric,official,ok-2026-june-primary-results
ok-2026-08-25-senate-s-regular-democratic,OK,2026,2026-08-25,primary_runoff,Senate,S,regular,partisan_primary,Democratic,2,False,0,False,actual_numeric,official,ok-2026-august-runoff-results
