"CandidateId","CandidateName","TOTAL_VOTES","Party","WriteInVote","LocalityCode","LocalityName","PrecinctId","PrecinctName","DistrictId","DistrictType","DistrictName","OfficeId","OfficeTitle","ElectionId","ElectionType","ElectionDate","ElectionName","NumberOfSeats"
"cs45","Bert Mizusawa","85","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs46","Kim Farington","38","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs47","David E. Williams","23","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs45","Bert Mizusawa","40","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs46","Kim Farington","6","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs47","David E. Williams","15","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs45","Bert Mizusawa","73","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs46","Kim Farington","31","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs47","David E. Williams","27","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs45","Bert Mizusawa","40","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs46","Kim Farington","8","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs47","David E. Williams","17","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs45","Bert Mizusawa","30","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs46","Kim Farington","5","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs47","David E. Williams","19","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs45","Bert Mizusawa","30","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs46","Kim Farington","11","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs47","David E. Williams","14","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
"cs45","Bert Mizusawa","18","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc13","Member, United States Senate","24be46ba-3db8-412d-891a-3bee7defbd09","Primary","2026-08-04","2026 August Republican Primary","1"
