corpus_segment_id,text_sha256,text,source_urls,locators,gold_topic_code,reviewed_by
f612660d5b104c33a925f465,e0c8be31516b2027ea923dd752c860857213f3f290c6d9d8732e0972ba47f46b,"As State Representative, I will be a consistent vote in support of added revenue for our system of public transportation, including the MBTA, the Green Line Extension, and the Somerville Community Path. It has been 26 years since the state was ordered to build the Green Line Extension, but the legislature has failed to enact measures that would have made the project a success.",https://www.thesomervilletimes.com/archives/70059,paragraph 35 sentences 1-2,,
20608827e53a5452b73169a4,70d1e342a078b90a97af5c5e2fef44d3a13ddf342e6b7908f3a9bad9c7ab0dcd,"The private streets, I think that is a shame, because the person who lives on that street, I pay taxes, they pay taxes, and the whole idea of us paying taxes is, we need safety and our garbage picked up, and if we are not going to have our garbage picked up, what are we paying taxes for? Lately, I have been using this phrase, ‘No taxation without representation.’ ”",https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/,paragraph 124 sentences 4-5,,
4168e38b48f690140a9bc744,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",http://www.kareemforpa.com/issues,paragraph 52 -> paragraph 54 sentences 1-2,,
484b519a23e4869b3301d0c4,d7a69c2b818a879465b1a28e9b1b1a2b832580ce539dc76c61382395a12426ec,"This also means we need to take a holistic equitable approach to housing by recognizing how these issues are compounded by race and mental health. Particularly because black and brown people and people with mental disability in Fairfax County are disproportionately criminalized, leading to the cyclical struggles of housing and poverty.",https://ggwash.org/view/72114/whos-best-on-housing-and-transportation-in-fairfaxs-braddock-district,paragraph 53 sentences 1-2,,
8e6b65eea3fa05a036019279,313bf77e8ff0458a80be89d9b1ddfbd188c24f5f4c5ede691b290e32fbb234f4,Solutions: End poverty pay for Montana's teachers. Establish a statewide salary schedule for teachers. Eliminate the tax credit for private school donations. Keep college tuition frozen.,https://www.dannyforhd95.com/,paragraph 38 -> paragraph 39,,
761d31e51b773bff3c680247,cbdcac8547fe13a98c95b450254186dba010b6d47be24f36daeab7e300592adb,"The attendant economic crisis has caused widespread job loss and threatens an historic displacement of Americans from their homes in the middle of winter. Local governments are constrained in the ways they can respond to these crises, but I am committed to continuing to work with our partners in county, state, and federal governments to ensure that Brighton not only weathers these crises, but more importantly, paves the way to a brighter future for our entire community.",http://www.wiltfortownboard.com/,paragraph 15 sentences 4-5,,
29fc0e5126065a7f37a2afe1,b16f7759a54e42b0e4ff77747f2ad4622aa221e2ba7806c2db06e56d6839b6cc,"All of this work must be done using union labor and prioritize at-risk, work-class communities, such as Red Hook and Gowanus.",https://jabariforstatesenate.com/climateandenergy,paragraph 48 sentence 4,,
fd6388ea3fa9202b0afc1338,0bf34e80e8b35bc6c104f3a16704da093665252f982b7a9924b2738fe8377813,"The solution is not only to protect the city’s assets and operations from privatization, but to grow municipal facilities: social housing, child care centers, libraries, and collaboratively controlled housing, workplaces, and consumer groups. Together we can work towards neighborhood-driven change, equitable development, and investment in working families.",https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,paragraph 222,,
f4d16a8c9fb7b4f5afa202b3,0339ad0fdf59addc27fb8647d93e5510c5783d8d457e212ce90c49981d8a4b20,"More green space is not just good for the soul, it’s important for flood prevention. Queens needs flood mitigation as the climate crisis worsens. Green spaces can play a significant role in alleviating flooding, and urban forests have a big impact on flood control, allowing water to infiltrate into the soil instead of simply running off into streets or storm sewers.",https://claireforqueens.com/platform/climate,paragraph 47,,
e723c22ca689adb43eaea290,68f3dbc594a3655e636c5871413aa26f35e0611ab33f9cc4d4ee576a1009f490,"Red flag laws and background checks and safe storage. I think gun safety is a universal issue, and we have to meet — we have to ensure that we’re protecting our kids. Then public education and universal child care. I think when we put our kids first, working class families all win.",https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/,paragraph 79,,
