document_id,url,final_url,publication_date,retrieved_at,retrieved_at_precision,raw_path,sha256,bytes,status,notes,content_type,artifact_kind,artifact_type
pa03-rabb-citystate-20260514,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-chris-rabb/413545/,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-chris-rabb/413545/,2026-05-14,2026-09-23,date_only,data/raw/policy_pa_il_2026/pa03-chris-rabb-citystate-2026-05-14.html,8f84b97fc9ea9a395220998e5bfe0390017d8e0d4bb8cf98430aaba875915450,144765,used,"Dated candidate questionnaire. Excerpt uses Rabb's answer only, excluding prompts and publisher framing.",,,
pa03-street-citystate-20260512,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-sharif-street/413480/,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-sharif-street/413480/,2026-05-12,2026-09-23,date_only,data/raw/policy_pa_il_2026/pa03-sharif-street-citystate-2026-05-12.html,a8d6714a2f3cf4dd7f550371c80db13470292fc10d54720b5fcb2409836f8be0,141595,used,Dated candidate questionnaire. Excerpt uses Street's answer only.,,,
pa03-rabb-official-alias-20210105,https://www.pahouse.com/Rabb/InTheNews/NewsRelease/?id=117896,https://www.pahouse.com/Rabb/InTheNews/NewsRelease/?id=117896,2021-01-05,2026-09-23,date_only,data/raw/policy_pa_il_2026/pa03-rabb-official-alias-2021-01-05.html,7da9435ef3ee6454594289b366f39d905c42e3dfcf78b664ec0207deae147bac,71082,identity_only,Identity evidence only. Official Pennsylvania House page title uses Christopher M. Rabb and body text identifies him as Chris Rabb.,,,
pa03-street-fec-identity,https://www.fec.gov/data/candidate/H6PA03195/,https://www.fec.gov/data/candidate/H6PA03195/,,2026-09-23,date_only,data/raw/policy_pa_il_2026/pa03-street-fec-candidate.html,8c39fbc41cd4dfc1bee64e9dcaf5dbc5ff659aaca8b454ecee1fc2c7820a5d3b,62106,identity_only,"Identity evidence only. FEC candidate H6PA03195 is STREET, SHARIF for Pennsylvania House District 3 and uses the authorized committee SHARIF STREET FOR US.",,,
il08-junaid-wttw-20260316,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,2026-09-23,date_only,data/raw/policy_pa_il_2026/il08-junaid-wttw-20260316182458.html,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,62452,used,WTTW 2026 primary voter-guide questionnaire; pre-primary Wayback capture establishes the answer by March 16.,,,
il08-morrison-afc-questionnaire-202603,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,,2026-09-23,date_only,data/raw/policy_pa_il_2026/il08-kevin-morrison-afc-questionnaire.pdf,c0452e4876a4af58e01cd1a014fd534b2feeb131ff176204704644bfa7511b8e,66291,timing_unverified,Original retained PDF. The /2026/03 URL path and primary-questionnaire title do not prove publication before the March 17 primary; no pre-primary archive or exact publication date was recovered.,application/pdf,,
il06-ruzevich-suntimes-20260220,https://chicago.suntimes.com/elections/2026/candidate-questionnaires/joseph-joey-ruzevich-illinois-primary-6th-congressional-district,https://chicago.suntimes.com/elections/2026/candidate-questionnaires/joseph-joey-ruzevich-illinois-primary-6th-congressional-district,2026-02-20,2026-09-23,date_only,data/raw/policy_pa_il_2026/il06-joey-ruzevich-suntimes.html,abf31bf462d83face680eba6763d4b850fc8c0334f86b8db8c79e1e8658fc68a,619060,used,"Dated candidate questionnaire. The retained quote is from Ruzevich's response, not the question or reporter text.",,,
il06-casten-healthcare-20260211,https://www.castenforcongress.com/issues/health-care/,https://web.archive.org/web/20260211222212id_/https://www.castenforcongress.com/issues/health-care/,,2026-09-23,date_only,data/raw/policy_pa_il_2026/il06-sean-casten-healthcare-20260211222212.html,d52fe37ec2fd27aca3980138d06794a840d49815bceab363af3cb017d7b1b486,20359,used,Campaign health-care platform; pre-primary Wayback capture establishes the text by February 11.,,,
il06-casten-issues-index-20260213,https://www.castenforcongress.com/issues/,https://web.archive.org/web/20260213144019id_/https://www.castenforcongress.com/issues/,,2026-09-23,date_only,data/raw/policy_pa_il_2026/il06-sean-casten-issues-20260213144019.html,a682bf2d31b75ccd98db2c0d1b14cc368a8a8b03840d396c2f2624ecda4f0a5b,30510,excluded,"Pre-primary issues index retained for provenance, but it contains topic links rather than the full health-care position used in the comparison.",,,
il08-dan-tully-wttw-followup,https://news.wttw.com/elections/voters-guide/2026-primary/dan-tully,https://news.wttw.com/elections/voters-guide/2026-primary/dan-tully,,2026-09-23T01:52:56.522198+00:00,timestamp,data/raw/policy_pa_il_2026/followup/il08-dan-tully-wttw-followup/902af9c68780c7fea0a08d2ded21e0b04324c8ce91b50811584436a7a7a9b281.html,902af9c68780c7fea0a08d2ded21e0b04324c8ce91b50811584436a7a7a9b281,62507,timing_unverified,Full candidate questionnaire. Healthcare answer at paragraph 99 is first-person candidate text; the prompt at paragraph 98 is excluded. Pre-primary publication/version is unverified.,text/html,,
