corpus_segment_id,source_analysis_segment_ids,document_ids,candidate_slugs,candidate_names,race_ids,roles,group,cycle,election_dates,source_types,source_urls,archive_urls,final_urls,publication_dates,locators,text,token_count,text_sha256,exact_duplicate_hash,provenance_row_count
a9842e003355b36ab0387b68,1ebe464b1cf4710dcd0d7143,493093a4117a677a9b983402,mike-connolly,Mike Connolly,ma-house-26th-middlesex-dem-primary-2016,endorsed,endorsed,2016,2016-09-08,candidate_interview_transcript,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,2016-07-19,"time 00:12:54,90-00:12:59,35 -> time 00:12:59,36-00:13:04,01",absolutely for we and I don't I told you the thirteen minutes fifteen minutes goes very very quickly Michael before we end how can people learn more about your stance,30,ffa9e37f3f61b63f4f455924b5018894bbcc060e45ea1555172be467d385ca2a,bf0a306a3c25aaadfc3e1d61d8ecdda0d483c14730963df80a51ec1891960712,1
789a4368206606d34d59b288,dfbaac77a36f884ecd3cb05e,9d5e97b9b293516a68305503,jon-grant,Jon Grant,race-82b317d0ebb6e5f1d97a,endorsed,endorsed,2017,2017-08-01,candidate_questionnaire,https://www.theurbanist.org/2017-endorsement-questionnaire-jon-grant,,https://www.theurbanist.org/2017-endorsement-questionnaire-jon-grant/,,paragraph 61,"We also need to ensure that Vision Zero policies and practices are incorporated into major transit infrastructure changes happening downtown and along the waterfront. Currently, the One Center City plan does not include metrics to assess pedestrian safety, such as deaths at crosswalks. We must ensure that Vision Zero goals are incorporated into all transportation infrastructure plans.",57,a8ab16c19092693243890250147b5e7e2a3dd3f18702410f48696c2b216ddd9c,67f80eae0c07002f6cfff05ceacc94841e45267a0b74fd5ea0a3b306fb8cb5d3,1
4168e38b48f690140a9bc744,38b65b875e52f2330072372c,5e869eb8dd1bcf2b194d60eb,kareem-kandil,Kareem Kandil,race-e4f88f1286d62b12a1ab,endorsed,endorsed,2018,2018-05-15,archived_campaign_page,http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,https://web.archive.org/web/20180509132550id_/http://www.kareemforpa.com/issues,,paragraph 52 -> paragraph 54 sentences 1-2,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",86,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,6501381d35640dfaf7cc2c31dc8996d400d2eaaeaece6016f034428e3d5a9377,1
1bba39fd24b06624f8ec9d7d,ce182176cb0333ed38cfad0e,485c2d5eea6e719f4d972474,ugo-okere,Ugo Okere,race-b329e1eeb5cd234c8ba2,endorsed,endorsed,2019,2019-02-26,candidate_questionnaire,https://news.wttw.com/elections/voters-guide/2019/candidates/chicago-city-council/ugo-okere,,https://news.wttw.com/elections/voters-guide/2019/candidates/chicago-city-council/ugo-okere,,paragraph 75,"That’s why our campaign is based on 3 tenets. It’s a campaign based on co-governance, the idea that it’s not me going into city council, but it’s all of us, with a seat at the table and government in our hands through policies like participatory budgeting, and a community driven zoning process.",57,e593b930947f219ad80b2896a0a17cbf72f96507e205b7c1f1c3665eff7b8d7b,e377813b767aa107dd0c9819a163d4848f1a107c0bc62937faf43cde58fb2c4c,1
cc8648f25d47d0dc44f90220,5a17b24cb39c18222365d239,ba3bc4d959abc3b6f84b0286,rachel-ventura,Rachel Ventura,race-58bd65d4bf27835baac1,endorsed,endorsed,2020,2020-03-17,campaign_page,https://mysuburbanlife.com/,,https://www.shawlocal.com:443/my-suburban-life/,,paragraph 101 -> paragraph 104,Today's Ads (Opens in new window) Public Notices Shaw Media Marketing (Opens in new window) Suburban Life Deals (Opens in new window),22,78793c377aef874a0ce0a6d8eda31169e9d7b6ecb2200b5ba2727d767fcfb902,3b0158b6d05b5575a92e9ded16d4d7c6ca416dce1c933d808df4200b84062a12,1
eb18fbd7d36974758cca324d,af3f9d898529ec327e577d9a,30052b5963608b9ca8b8a14e,anita-prizio,Anita Prizio,race-3d4a968ce106f259b80d,unopposed,endorsed,2021,2021-05-18,candidate_questionnaire,https://www.pghlesbian.com/2021/04/qa-with-anita-prizio-allegheny-county-councilor-district-3,,https://www.pghlesbian.com/2021/04/qa-with-anita-prizio-allegheny-county-councilor-district-3/,,paragraph 365 -> paragraph 366,"Q&A with Hilary Wheatley Taylor, Candidate for Magisterial District Judge for District 05-2-19 Q&A with Connor Mulvaney, Candidate for City Council District 4",27,fa8b1ef45b7eebbde52fc94388dd14316aa52099fb8ad13511b66cb1f7fe0a75,01a4c89b759fab8a91d8c3092793a398db00a708d4f79c95d6b01f2d8e75829f,1
3714deade820b004c6511a54,826bf755a708c44b69fe8afb,fc0f4277bf8284fbf4a4cebc,keron-w-alleyne,Keron W. Alleyne,race-7f202ea8e34ed7d7a624,endorsed,endorsed,2022,2022-06-28,campaign_platform,https://workingfamilies.org/vote-keron-alleyne-for-state-assembly/,,https://workingfamilies.org/vote-keron-alleyne-for-state-assembly/,,paragraph 106 -> paragraph 119,Massachusetts Michigan New Jersey New Mexico New York Ohio Oregon Pennsylvania Rhode Island Texas Washington Wisconsin Get Active Become a WFP member,22,f24bc98cf64cd6105b98166f8c0d3f06218400c87a822789691d995deb27f4a1,66fe5df2f3dc1c9761bdb54c0cb44b4260168b5163ebca1dafb4b51c0da54eeb,1
1ab291878ac9d036bc3546c8,42a9f8479dff301c0644f522,cff600c4d26048be106a924c,seth-anderson-oberman,Seth Anderson-Oberman,race-885bf92cab55e56ae2b7,endorsed,endorsed,2023,2023-05-16,campaign_page,https://dc47.org/,,https://dc47.org/,,paragraph 384 -> paragraph 387,"(opens in new tab) (opens in new tab) AFSCME Know Your Rights Online Training (opens in new tab) This session is designed to prepare you, your family, and your coworkers to stay safe and informed in the face of immigration enforcement.",41,6e4ef725422666a76d4260dc140976b59ffc9722556709d7103c2cb27f5e75f2,c8f83b80e6ebc39abe5752f8f40f8c8961d3a5314f4909e38aa092e9d04e15ee,1
9dc3a3df34801d79b5f30895,d5a4c22272be122f3086f9c2,8cdf66c6b5cafc4bffa05897,uncommitted,Uncommitted,race-e2b6f8d54db828efc7e2,endorsed,endorsed,2024,2024-05-14,campaign_page,https://listentomaryland.org/,,https://listentomaryland.org/,,paragraph 38 -> paragraph 40,"Primary Election day: Tuesday, May 14th Are You Registered To Vote? CLICK HERE Find out if you are registered to vote, what your registered party affiliation is, where to your voting place is, and see the status of your mail-in or provisional ballot: https://voterservices.elections.maryland.gov/VoterSearch",50,30ce3abae295e7403099993147248b3d83db896d65ee84eddf0ac4c0bea89572,f60877ece2e10b135eb077ff32afc63557e179cf1c22103e33dba09157d06924,1
2d5691c7a1aecf8c3d359953,81b2f204602495a1ec0df63f,f39ecb9de50e1bcf73352aed,alexa-avile-s,Alexa Avilés,race-0159b30b2abfcca8ea6b,endorsed,endorsed,2025,2025-06-24,candidate_questionnaire,https://jimowles.org/news/candidate-answers-to-joldc-alexa-avils-for-city-council-district-38-2025,,https://jimowles.org/news/candidate-answers-to-joldc-alexa-avils-for-city-council-district-38-2025,,paragraph 67 sentences 5-7,"Our events teach our volunteers how to organize, connect with their fellow New Yorkers, and build community and solidarity. Our organizing is the type of work so desperately needed right now because it builds community and makes people realize that collective power can produce change. It is the perfect antidote to the conspiratorial self-interest billionaire politics that has taken over our country.",63,358fe00d8c7744b5074e5077e622fe1f969002f86cd0f560e4bbb5614f8644c4,ba9f309ebdaa03725ba03c4b063d1f322b771bbd017ce8bc74c4c4c81a85d7e5,1
