2024-11-14T03:04:34.329Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lauuuvyihd2o	Join DSA.  \n  \n dsausa.org/join	
2024-11-14T14:02:03.952Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lavzmm3fws2c	Socialism beats fascism.	
2024-11-19T01:54:24.293Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lbbdc2c47226	Yes	
2024-11-19T01:59:05.834Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lbbdkgs2lc26	Curious about who and what we are? You can find out pretty easily - come to the next "What is CDSA?" call. Ask all your questions there. We're so friendly you guys.  \n  \n RSVP here: \n  \n teamup.com/ksc3uaa38o41...	
2024-11-21T23:07:54.198Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lbilf3evys2p	DSA Co-chair Ashik Siddique responds to Kind Bar CEO's hit piece on DSA in Newsweek. \n  \n "When you join DSA, you become part of a mass organization whose best references are those that fueled the labor and civil rights movements of the 20th century." \n  \n www.newsweek.com/we-democrati...	
2025-03-02T15:46:16.695Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ljfrsexc222q		
2025-03-02T15:46:35.881Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ljfrsxakkk2q		
2025-03-02T15:46:50.807Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ljfrtfi2q22q		
2025-03-02T15:47:11.082Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ljfrtystj22q		
2025-03-02T15:47:25.945Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ljfrugyf6k2q		
2025-03-02T15:47:36.259Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ljfruqt5h22q		
2025-05-03T19:32:18.749Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3loc3dnd2ac26	Happening now, Chicago DSA Workers Town Hall.	Chicago workers town hall 
2025-05-03T19:34:53.633Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3loc3iazr4k26	Our speakers include unions members from teachers unions, nurses unions, federal unions and union organizers talking about how to build and expand union power in Chicago and the U.S.	Phot of panelists Loreen Targos, Dennis Kosuth, Ella Fent, and David Martucci with Will Bloom moderating
2025-05-03T20:05:31.457Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3loc56zpn622t	“Management said ‘can you get them to be quieter?’ I said ‘No, but I can sure the hell make em louder’”	Photo of panelists discussing. 
2025-06-03T21:11:12.356Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lqq7czfyik23	Democrats just sold out Illinois' queer working class. Happy Pride! [1/2]	 |  |  | 
2025-06-03T21:11:58.973Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lqq7efton223	[2/3]	 |  |  | 
2025-06-03T21:12:34.436Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lqq7fhovps23	[3/3]	
2025-06-25T05:17:19.033Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lsfubljfks2t	A better world is possible. Let's organize to make it happen. Join DSA today.	
2025-06-25T05:17:40.077Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lsfuc7lfj22t	fill out this form! act.dsausa.org/survey/maili...	
2025-06-25T05:18:23.438Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lsfudiwu3s2u	Socialism wins, fighting for working class issues wins!  \n  \n Join DSA today, demand a better world, ad organize to build one! \n  \n dsausa.org/join	Picture of Zohran Mamdani with a link to join dsa dsausa.org/join
2025-07-15T23:54:09.531Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu23z2wnvk2s	Gender affirming care is healthcare, and a human right. Hospitals like Rush and Lurie are caving to far right pressure. Join the us Thursday, July 17th, at 6:00 PM at 523 S Honore to demand gender affirming care for all! \n  \n RSVP: tinyurl.com/rushrally	
2025-07-17T16:29:07.009Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e34e24k2g	Lurie Children’s and Rush, two major Chicago area hospitals, are preemptively complying with the Trump administration’s attacks on trans people and rolling back gender affirming care for trans youth. (1/8)	
2025-07-17T16:29:07.010Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e36vjk22g	By doing so, these hospitals defy state laws such as the IL HRA and are consciously denying life-saving surgeries to minors, betraying patient care and community trust. (2/8)	
2025-07-17T16:29:07.011Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e36vmhs2g	Chicago Democratic Socialists of America worked with our allies in the Chicago City Council to introduce a resolution  (R2025-0018757) this week condemning Rush Hospital and Lurie Children’s Hospital for ceasing gender-affirming care. (full reso: chicityclerkelms.chicago.gov/Matter/?matt...) (3/8)	 | 
2025-07-17T16:29:07.012Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e3atc422g	We want to thank 26th Ward Alder Jesse Fuentes, who introduced the resolution, and socialist in office and 33rd Ward Alder Rossana Rodríguez-Sánchez whose office worked closely with Chicago DSA members to craft this resolution. (4/8)	
2025-07-17T16:29:07.013Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e3atd3c2g	In times of political repression and advances by the Far Right, we need bold leadership. Socialists and their allies in office are rising to the occasion. (5/8)	
2025-07-17T16:29:07.014Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e3atd3d2g	The Trump administration wants to eliminate gender affirming care in this country by punishing providers and holding patients hostage in order to push their radical reactionary agenda. (6/8)	
2025-07-17T16:29:07.015Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e3ate2l2g	But this is Chicago.  \n We don't bow to bullies. \n  \n As socialists we believe in fighting the boss head on. Trans liberation won’t be won through closed door negotiation but through mass action by ordinary working class people. (7/8)	
2025-07-17T16:29:07.016Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e3atprl2g	What you can do? Call your Alder and voice your support for resolution: R2025-0018757 and join us for a rally to fight for trans youth near Rush hospital at 6PM @ Louis Pasteur Statue | 523 S Honore  tinyurl.com/rushrally (8/8)	
2025-07-17T16:29:07.017Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3lu6e3cxydt2g		
2025-07-18T17:14:16.203Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3luax2rke7k2h	Thanks to everyone who showed up and to our co-sponsors for rallying to protect trans youth! None of us are safe until all of us are safe. DSA will keep fighting for gender affirming care for all. Become a member today and join the fight! act.dsausa.org/donate/membe...	
2025-09-05T11:28:39.467Z	at://did:plc:lnkamoorduzvz67yeuh2srvl/app.bsky.feed.post/3ly3kluyiq227	Since January, the Trump administration has been attacking trans healthcare. Now even in Illinois, most hospitals have dropped gender-affirming care for minors, leaving nowhere for any surgical care, and only 2 hospitals still providing non-surgical care. \n  \n Info and RSVP: teamup.com/ksc3uaa38o41...	Info graphic of Chicago DSA’s Defend Trans Healthcare Town Hall on Saturday, September 13th at Wicker Park Lutheran Church starting at 2:00pm
