document_id,metadata_document_id,candidate_name,race_id,url,final_url,publication_date,retrieved_at,raw_path,original_raw_path,sha256,bytes,content_type,status,notes
0450ca93d55c2b7438c60599,0450ca93d55c2b7438c60599,"Maurice ""Mo"" Troop",race-8d1e88972b7232ea26d0,https://web.archive.org/web/20210516130843id_/https://www.goerie.com/story/news/local/2021/04/29/democrat-maurice-troop-race-erie-city-council/7380098002/,https://web.archive.org/web/20210516130843id_/https://www.goerie.com/story/news/local/2021/04/29/democrat-maurice-troop-race-erie-city-council/7380098002/,2021-04-29,2026-08-20T19:35:06.042978+00:00,data/raw/policy_historical_b/0450ca93d55c2b7438c60599.html,data/raw/candidate_documents/0450ca93d55c2b7438c60599/dab0e3ee788940f80c39a6ca88fdea025565c7ce2103c5274497ec9cfaa709ee.html,dab0e3ee788940f80c39a6ca88fdea025565c7ce2103c5274497ec9cfaa709ee,124250,text/html,used,"Semantically reviewed for Maurice ""Mo"" Troop; packet timing=pre_primary_screened."
06250936b353910734ffebcd,06250936b353910734ffebcd,"Timothy J. Toomey, Jr.",race-0f0734c608b02353f3cf,https://web.archive.org/web/20160828203156/https://timtoomey.org/,https://web.archive.org/web/20160828203156/https://timtoomey.org/,2016-08-28,2026-08-20T00:50:46.179624+00:00,data/raw/policy_historical_b/06250936b353910734ffebcd.org,data/raw/candidate_documents/06250936b353910734ffebcd/2671f8932b1caf69b600a2f855b7190da6abb77e3312176fcc6bc696f3869651.org,2671f8932b1caf69b600a2f855b7190da6abb77e3312176fcc6bc696f3869651,47661,text/html,used,"Semantically reviewed for Timothy J. Toomey, Jr.; packet timing=pre_primary_screened."
07eefecbaf3f1336c44715cb,07eefecbaf3f1336c44715cb,Gabriel Acevero,race-50548ada602a94d636d7,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats/,2018-02-13,2026-08-19T23:30:24.906135+00:00,data/raw/policy_historical_b/07eefecbaf3f1336c44715cb.html,data/raw/candidate_documents/07eefecbaf3f1336c44715cb/f64d3a28de0724004e47bcb6e1d6ac5baa326c3c3fd1289f0df0c90a07da45cb.html,f64d3a28de0724004e47bcb6e1d6ac5baa326c3c3fd1289f0df0c90a07da45cb,417988,text/html,used,Semantically reviewed for Gabriel Acevero; packet timing=pre_primary_screened.
088904e1de954ceccacc7db0,088904e1de954ceccacc7db0,Diana C. Moreno,race-9172cee3bc57bf96a6c8,https://democraticleft.dsausa.org/2026/06/01/diana-moreno-organize-as-if-the-world-you-want-is-within-grasp/,https://democraticleft.dsausa.org/2026/06/01/diana-moreno-organize-as-if-the-world-you-want-is-within-grasp/,2026-06-01,2026-08-20T19:32:48.518601+00:00,data/raw/policy_historical_b/088904e1de954ceccacc7db0.html,data/raw/candidate_documents/088904e1de954ceccacc7db0/078f226dc26c893e34b36737b36050f2009443a836e0cc41effb50e930c58eb4.html,078f226dc26c893e34b36737b36050f2009443a836e0cc41effb50e930c58eb4,118977,text/html,used,Semantically reviewed for Diana C. Moreno; packet timing=pre_primary_screened.
09b99372f2aad88f7e551e74,09b99372f2aad88f7e551e74,Michael Lachenmeyer,race-54b552116a27a8f0ef97,https://www.wwlp.com/news/local-news/hampden-county/michael-lachenmeyer-launches-2026-bid-against-rep-puppolo/,https://web.archive.org/web/20260102031130id_/https://www.wwlp.com/news/local-news/hampden-county/michael-lachenmeyer-launches-2026-bid-against-rep-puppolo/,2026-01-02,2026-08-21T03:53:38.548241+00:00,data/raw/policy_historical_b/09b99372f2aad88f7e551e74.html,data/raw/candidate_documents/09b99372f2aad88f7e551e74/c83533adc290ee72caa08b6c22ce38786abd2d16842bc9d33a64691b1886385f.html,c83533adc290ee72caa08b6c22ce38786abd2d16842bc9d33a64691b1886385f,113207,text/html,used,Semantically reviewed for Michael Lachenmeyer; packet timing=pre_primary_screened.
130be9bfd7a44c6c2c1a4a04,130be9bfd7a44c6c2c1a4a04,"Angelo J. Puppolo, Jr.",race-54b552116a27a8f0ef97,https://wmasspi.com/2025/06/a-challenge-to-puppolo-in-mass-house-begins-quite-early.html,https://wmasspi.com/2025/06/a-challenge-to-puppolo-in-mass-house-begins-quite-early.html,,2026-08-19T23:52:31.771258+00:00,data/raw/policy_historical_b/130be9bfd7a44c6c2c1a4a04.html,data/raw/candidate_documents/130be9bfd7a44c6c2c1a4a04/dcb575b2ad9d90d363aa9d2aecb52340889cf7e3e888e8a9ebda276b6be9cf28.html,dcb575b2ad9d90d363aa9d2aecb52340889cf7e3e888e8a9ebda276b6be9cf28,123056,text/html,timing_unverified,"Semantically reviewed for Angelo J. Puppolo, Jr.; retained candidate quotation is a campaign frame emphasizing experience and commitment, not a specific policy. Publication metadata remains unknown, so timing stays qualified."
1404488badd308c9a7f46d0e,1404488badd308c9a7f46d0e,David Orkin,race-39f265caadf4efc1cdd3,https://hellgatenyc.com/david-orkin-assembly-district-38-interview/,https://hellgatenyc.com/david-orkin-assembly-district-38-interview/,2026-06-02,2026-08-20T19:32:48.150065+00:00,data/raw/policy_historical_b/1404488badd308c9a7f46d0e.html,data/raw/candidate_documents/1404488badd308c9a7f46d0e/3eb01297f01f101f777c7216d5dd63b693629bcc6ed75c428a09f6bff7d2c015.html,3eb01297f01f101f777c7216d5dd63b693629bcc6ed75c428a09f6bff7d2c015,47592,text/html,used,"Semantically reviewed for David Orkin; retained candidate quotation is campaign framing about his nontraditional candidacy, not a legislative policy position."
168bd5d856aef80b42dee846,168bd5d856aef80b42dee846,Earl Blumenauer,race-98a94ea45af952a751bc,https://www.earlblumenauer.com/2019/11/25/big-news-league-conservation-voters-endorses,https://www.earlblumenauer.com/2019/11/25/big-news-league-conservation-voters-endorses/,2019-12-05,2026-08-20T02:54:12.483120+00:00,data/raw/policy_historical_b/168bd5d856aef80b42dee846.html,data/raw/candidate_documents/168bd5d856aef80b42dee846/9e5d97bfa20773e58ebba2ba71ba3ac833021a82e47c899c90f82a2ddfcb7562.html,9e5d97bfa20773e58ebba2ba71ba3ac833021a82e47c899c90f82a2ddfcb7562,10420,text/html,used,Semantically reviewed for Earl Blumenauer; packet timing=pre_primary_screened.
17e69333651727e6aecb89d7,17e69333651727e6aecb89d7,Patrick A. McLean,race-e380dcac34b2bd829dd4,https://www.wemu.org/wemu-news/2026-07-28/two-candidates-running-in-ypsilanti-2nd-ward-city-council-primary,https://www.wemu.org/wemu-news/2026-07-28/two-candidates-running-in-ypsilanti-2nd-ward-city-council-primary,,2026-08-19T23:48:59.823490+00:00,data/raw/policy_historical_b/17e69333651727e6aecb89d7.html,data/raw/candidate_documents/17e69333651727e6aecb89d7/651cc0e7db854bf97e7a99ae6c257261b08c7cd51041d3fad7c5e0d7e5ca4e6a.html,651cc0e7db854bf97e7a99ae6c257261b08c7cd51041d3fad7c5e0d7e5ca4e6a,187965,text/html,timing_unverified,Semantically reviewed for Patrick A. McLean; packet timing=timing_unverified_same_cycle_capture. Same-cycle capture remains timing-unverified and is not backdated.
26187350d55df71da708b2fb,26187350d55df71da708b2fb,Erik Dilan,race-7d1d86d506cf06be54a0,https://dilan4assembly.com/issues.html,https://dilan4assembly.com/issues.html,2026-03-05,2026-08-20T02:07:37.847572+00:00,data/raw/policy_historical_b/26187350d55df71da708b2fb.html,data/raw/candidate_documents/47c7293a873537162c573848/9c44eb31c7a3470c9a1f0ba8fd8c7e33c0b9c7c925cd6f18be33aec8f50395e6.html,9c44eb31c7a3470c9a1f0ba8fd8c7e33c0b9c7c925cd6f18be33aec8f50395e6,18137,text/html,used,Semantically reviewed for Erik Dilan; packet timing=pre_primary_screened.
358f974fbec89cf96c435ef8,358f974fbec89cf96c435ef8,Sherman Hardy,race-a4cb4c786c15bc1f06d5,https://pgproudmag.com/2026/04/17/candidate-qa-8-questions-with-sherman-hardy,https://pgproudmag.com/2026/04/17/candidate-qa-8-questions-with-sherman-hardy/,,2026-08-19T23:47:36.269034+00:00,data/raw/policy_historical_b/358f974fbec89cf96c435ef8.html,data/raw/candidate_documents/358f974fbec89cf96c435ef8/0121549458e3b2c75cd5054f5b657110cbd7db2ad3cd08f08f5c490d73845679.html,0121549458e3b2c75cd5054f5b657110cbd7db2ad3cd08f08f5c490d73845679,163681,text/html,timing_unverified,Semantically reviewed for Sherman Hardy; packet timing=timing_unverified_same_cycle_capture. Same-cycle capture remains timing-unverified and is not backdated.
