,,Nancy Mace,Catherine Templeton,Bill Young,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,Republican,,,
Precinct,Sun City 01,93,82,20,195,113,308
Precinct,Sun City 02,60,53,17,130,96,226
Precinct,Sun City 03,55,40,18,113,74,187
Precinct,Sun City 04,110,78,25,213,92,305
Precinct,Sun City 05,124,83,29,236,91,327
Precinct,Sun City 06,97,98,23,218,98,316
Precinct,Sun City 07,89,46,18,153,106,259
Precinct,Sun City 08,56,38,16,110,55,165
Precinct,Sun City 09,68,45,17,130,53,183
Precinct,Sun City 10,38,21,13,72,50,122
County,Berkeley,7207,2967,1583,11757,5308,17065
Precinct,52,60,15,8,83,59,142
Precinct,78,42,15,9,66,30,96
Precinct,Alvin,32,7,4,43,93,136
Precinct,Bethera,40,8,3,51,0,51
Precinct,Beverly Hills,28,12,4,44,42,86
Precinct,Bonneau,71,22,17,110,58,168
Precinct,Bonneau Beach,143,54,35,232,23,255
Precinct,Boulder Bluff,61,33,7,101,68,169
Precinct,Bushy Park,5,3,1,9,2,11
Precinct,Cainhoy,21,17,5,43,122,165
Precinct,Cane Bay,100,36,17,153,81,234
Precinct,Cane Bay East,198,90,41,329,99,428
Precinct,Cane Bay North,147,66,54,267,107,374
Precinct,Cane Bay South,50,13,18,81,37,118
Precinct,Carnes Cross Roads 01,81,30,15,126,14,140
Precinct,Carnes Cross Roads 02,93,52,42,187,35,222
Precinct,Central,78,41,24,143,115,258
Precinct,Cobblestone,39,15,12,66,39,105
Precinct,Cordesville,61,22,13,96,48,144
Precinct,Cross,85,24,11,120,52,172
Precinct,Cypress,49,31,8,88,46,134
Precinct,Daniel Island 01,229,177,46,452,101,553
Precinct,Daniel Island 02,105,73,39,217,60,277
Precinct,Daniel Island 03,170,87,35,292,105,397
Precinct,Daniel Island 04,272,138,39,449,125,574
Precinct,Devon Forest 01,49,23,9,81,50,131
Precinct,Devon Forest 02,39,13,10,62,31,93
Precinct,Discovery,51,21,8,80,38,118
Precinct,Eadytown,14,2,3,19,61,80
Precinct,Failsafe,1,0,0,1,1,2
Precinct,Failsafe Provisional,2,0,0,2,3,5
Precinct,Foster Creek 01,77,18,11,106,45,151
Precinct,Foster Creek 02,137,65,31,233,76,309
Precinct,Foster Creek 03,79,43,17,139,61,200
Precinct,Fox Bank,120,40,21,181,79,260
Precinct,Hanahan 01,196,65,40,301,70,371
Precinct,Hanahan 02,76,20,13,109,29,138
Precinct,Hanahan 03,106,27,21,154,15,169
Precinct,Hanahan 04,51,21,16,88,32,120
Precinct,Hanahan 05,121,72,29,222,15,237
Precinct,Harbour Lake,28,12,6,46,49,95
Precinct,Hilton Cross Road,46,24,14,84,117,201
Precinct,Horseshoe,35,14,6,55,22,77
Precinct,Howe Hall 01,47,21,10,78,81,159
Precinct,Howe Hall 02,38,9,9,56,37,93
Precinct,Huger,69,19,13,101,84,185
Precinct,Jamestown,28,5,6,39,41,80
Precinct,Lebanon,67,32,14,113,20,133
Precinct,Liberty Hall,48,29,19,96,76,172
Precinct,Live Oak,88,29,31,148,12,160
Precinct,Macedonia,115,39,16,170,14,184
Precinct,Macedonia 02,15,5,2,22,1,23
Precinct,Mcbeth,65,19,17,101,32,133
Precinct,Medway,99,33,18,150,116,266
Precinct,Moncks Corner 01,97,40,23,160,58,218
Precinct,Moncks Corner 02,66,23,7,96,77,173
Precinct,Moncks Corner 03,58,30,11,99,103,202
Precinct,Moncks Corner 04,175,55,27,257,32,289
Precinct,Moultrie,21,6,5,32,188,220
Precinct,Nexton,170,99,43,312,107,419
Precinct,North Creek,40,26,17,83,51,134
Precinct,Old 52,48,29,13,90,25,115
Precinct,Pimlico,113,53,36,202,25,227
Precinct,Pinopolis,192,86,43,321,30,351
Precinct,Provisional,1,0,0,1,0,1
Precinct,Royle,49,18,13,80,25,105
Precinct,Russellville,21,11,5,37,215,252
Precinct,Sangaree 01,44,12,6,62,37,99
Precinct,Sangaree 02,60,14,14,88,41,129
Precinct,Sangaree 03,47,9,8,64,39,103
Precinct,Sedgefield 01,54,23,4,81,55,136
Precinct,Sedgefield 02,8,4,4,16,16,32
Precinct,Sedgefield 03,41,9,3,53,29,82
Precinct,Shulerville,28,11,3,42,35,77
Precinct,St. James,66,22,17,105,38,143
Precinct,St. Stephen 01,28,9,7,44,175,219
Precinct,St. Stephen 02,45,13,19,77,103,180
Precinct,Stone Lake,66,20,26,112,46,158
Precinct,Stratford 01,14,10,4,28,16,44
Precinct,Stratford 02,175,61,20,256,59,315
Precinct,Stratford 03,87,12,14,113,53,166
Precinct,Stratford 04,78,32,7,117,38,155
Precinct,Stratford 05,34,9,14,57,33,90
Precinct,The Village,150,65,34,249,66,315
Precinct,Tramway,49,26,9,84,37,121
Precinct,Wassamassaw 01,29,12,14,55,79,134
Precinct,Wassamassaw 02,148,44,33,225,77,302
Precinct,Weatherstone,64,14,21,99,48,147
Precinct,Westview 01,129,44,18,191,39,230
Precinct,Westview 02,85,44,18,147,44,191
Precinct,Westview 03,103,39,28,170,53,223
Precinct,Westview 04,98,42,23,163,41,204
Precinct,Whitesville 01,41,10,18,69,54,123
Precinct,Whitesville 02,25,7,7,39,38,77
Precinct,Wildcat Trail,53,14,9,76,37,113
Precinct,Yeaman's Club,9,5,2,16,0,16
Precinct,Yellow House,131,54,19,204,77,281
County,Charleston,8798,4306,2104,15208,6469,21677
Precinct,Awendaw,86,36,29,151,90,241
Precinct,Christ Church,70,22,16,108,52,160
Precinct,Edisto Island,129,35,21,185,181,366
Precinct,Failsafe,0,0,0,0,2,2
Precinct,Failsafe Provisional,4,4,1,9,5,14
Precinct,Folly Beach 01,60,28,15,103,48,151
Precinct,Folly Beach 02,82,38,23,143,75,218
Precinct,Isle Of Palms 01a,84,48,23,155,25,180
Precinct,Isle of Palms 01b,92,65,22,179,53,232
Precinct,Isle of Palms 01c,149,104,35,288,53,341
Precinct,James Island 01a,116,28,12,156,115,271
Precinct,James Island 01b,24,10,2,36,157,193
Precinct,James Island 03,6,3,1,10,132,142
Precinct,James Island 05a,104,31,17,152,44,196
Precinct,James Island 05b,68,19,16,103,21,124
Precinct,James Island 06,89,31,15,135,93,228
Precinct,James Island 07,97,43,25,165,95,260
Precinct,James Island 08a,80,53,11,144,132,276
Precinct,James Island 08b,75,26,19,120,70,190
Precinct,James Island 09,64,27,12,103,63,166
Precinct,James Island 10,67,24,14,105,58,163
Precinct,James Island 11,123,35,29,187,74,261
Precinct,James Island 12,94,40,27,161,55,216
Precinct,James Island 13,114,65,22,201,63,264
Precinct,James Island 14,62,25,13,100,34,134
Precinct,James Island 15,75,37,19,131,62,193
Precinct,James Island 17,61,72,21,154,55,209
Precinct,James Island 19,54,30,15,99,48,147
Precinct,James Island 20,51,21,7,79,79,158
Precinct,James Island 22,82,41,31,154,59,213
Precinct,Johns Island 01a,174,85,38,297,124,421
Precinct,Johns Island 01b,181,49,38,268,196,464
Precinct,Johns Island 02,285,138,66,489,179,668
Precinct,Johns Island 03a,367,162,75,604,160,764
Precinct,Johns Island 03b,105,68,31,204,123,327
Precinct,Johns Island 04,68,27,14,109,87,196
Precinct,Kiawah Island,177,118,38,333,134,467
Precinct,Mcclellanville,67,24,19,110,168,278
Precinct,Mt. Pleasant 01,123,80,22,225,61,286
Precinct,Mt. Pleasant 02,54,28,12,94,33,127
Precinct,Mt. Pleasant 03,127,73,48,248,118,366
Precinct,Mt. Pleasant 04,82,50,13,145,50,195
Precinct,Mt. Pleasant 05,87,41,19,147,34,181
Precinct,Mt. Pleasant 06,88,42,24,154,55,209
Precinct,Mt. Pleasant 07,64,15,9,88,33,121
Precinct,Mt. Pleasant 08,43,28,10,81,37,118
Precinct,Mt. Pleasant 09,71,34,22,127,40,167
Precinct,Mt. Pleasant 10,72,39,22,133,36,169
Precinct,Mt. Pleasant 11,71,30,15,116,51,167
Precinct,Mt. Pleasant 12,121,58,25,204,118,322
Precinct,Mt. Pleasant 13,50,23,12,85,30,115
Precinct,Mt. Pleasant 14,60,22,16,98,29,127
Precinct,Mt. Pleasant 15,198,170,45,413,114,527
Precinct,Mt. Pleasant 16,103,89,26,218,44,262
Precinct,Mt. Pleasant 17,170,81,45,296,94,390
Precinct,Mt. Pleasant 18,123,53,25,201,54,255
Precinct,Mt. Pleasant 19,87,40,33,160,48,208
Precinct,Mt. Pleasant 20,115,54,31,200,81,281
Precinct,Mt. Pleasant 21,114,65,37,216,85,301
Precinct,Mt. Pleasant 22,88,29,19,136,69,205
Precinct,Mt. Pleasant 23,82,35,27,144,77,221
Precinct,Mt. Pleasant 24,52,19,16,87,23,110
Precinct,Mt. Pleasant 25,95,38,18,151,37,188
Precinct,Mt. Pleasant 26,0,0,0,0,90,90
Precinct,Mt. Pleasant 27,182,108,42,332,74,406
Precinct,Mt. Pleasant 28,66,38,15,119,33,152
Precinct,Mt. Pleasant 29,23,30,9,62,15,77
Precinct,Mt. Pleasant 30,200,114,35,349,107,456
Precinct,Mt. Pleasant 31,93,36,28,157,63,220
Precinct,Mt. Pleasant 32,178,49,48,275,57,332
Precinct,Mt. Pleasant 33,320,147,100,567,133,700
Precinct,Mt. Pleasant 34,133,41,39,213,58,271
Precinct,Mt. Pleasant 35,301,136,85,522,166,688
Precinct,Mt. Pleasant 36,91,31,21,143,60,203
Precinct,Mt. Pleasant 37,207,87,45,339,151,490
Precinct,Mt. Pleasant 38,129,69,30,228,62,290
Precinct,Mt. Pleasant 39,388,171,80,639,164,803
Precinct,Provisional,10,2,3,15,19,34
Precinct,Sullivans Island,132,103,34,269,71,340
Precinct,Town of Seabrook Island,209,132,42,383,165,548
Precinct,Wadmalaw Island 01,40,32,8,80,85,165
Precinct,Wadmalaw Island 02,70,32,17,119,181,300
County,Colleton,174,52,20,246,187,433
Precinct,Edisto Beach,155,45,15,215,40,255
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Green Pond,19,7,5,31,147,178
Precinct,Provisional,0,0,0,0,0,0
County,Dorchester,4869,2032,1308,8209,2913,11122
Precinct,Ashborough East,19,20,10,49,32,81
Precinct,Ashborough East 02,80,41,35,156,26,182
Precinct,Ashborough West,47,14,16,77,7,84
Precinct,Ashborough West 02,78,44,36,158,33,191
Precinct,Bacons Bridge,138,71,30,239,60,299
Precinct,Bacons Bridge 02,49,25,13,87,33,120
Precinct,Beech Hill,122,66,29,217,50,267
Precinct,Beech Hill 02,105,40,21,166,104,270
Precinct,Brandymill,39,17,10,66,18,84
Precinct,Brandymill 02,60,20,20,100,35,135
Precinct,Briarwood,60,14,23,97,17,114
Precinct,Briarwood 02,44,19,21,84,24,108
Precinct,Briarwood 03,45,25,15,85,8,93
Precinct,Butternut,150,71,36,257,66,323
Precinct,Carolina,77,31,34,142,79,221
Precinct,Central,107,40,19,166,34,200
Precinct,Central 02,77,30,22,129,32,161
Precinct,Clemson,176,66,36,278,62,340
Precinct,Clemson 02,88,36,26,150,63,213
Precinct,Clemson 03,60,23,14,97,42,139
Precinct,Coastal,19,9,7,35,38,73
Precinct,Coastal 02,67,26,17,110,46,156
Precinct,Coastal 03,32,11,4,47,25,72
Precinct,Coosaw,144,85,41,270,100,370
Precinct,Coosaw 02,65,43,18,126,97,223
Precinct,Coosaw 03,85,32,24,141,40,181
Precinct,Cypress,121,34,27,182,64,246
Precinct,Cypress 02,60,13,24,97,31,128
Precinct,Delemars,71,26,13,110,114,224
Precinct,Dorchester,85,35,21,141,44,185
Precinct,Dorchester 02,154,58,31,243,44,287
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Flowertown,319,133,58,510,120,630
Precinct,Flowertown 02,69,29,21,119,38,157
Precinct,Flowertown 03,58,21,27,106,31,137
Precinct,Germantown,107,36,27,170,43,213
Precinct,Givhans,77,28,29,134,50,184
Precinct,Givhans 02,91,42,17,150,66,216
Precinct,Greenhurst,48,24,10,82,36,118
Precinct,Greenwave,28,24,14,66,39,105
Precinct,Irongate,46,17,18,81,12,93
Precinct,Irongate 02,22,4,4,30,4,34
Precinct,Irongate 03,52,26,10,88,14,102
Precinct,Kings Grant,121,47,24,192,95,287
Precinct,Kings Grant 02,156,74,38,268,119,387
Precinct,Knightsville,99,28,25,152,27,179
Precinct,Lincoln,30,15,9,54,40,94
Precinct,Miles-Jamison,93,40,28,161,58,219
Precinct,Newington,114,47,31,192,26,218
Precinct,Newington 02,53,14,20,87,12,99
Precinct,North Summerville,32,11,8,51,21,72
Precinct,North Summerville 02,37,25,12,74,87,161
Precinct,Oakbrook,107,26,27,160,116,276
Precinct,Oakbrook 02,38,26,23,87,36,123
Precinct,Provisional,0,0,0,0,1,1
Precinct,Sawmill Branch,123,46,27,196,32,228
Precinct,Spann,119,44,30,193,29,222
Precinct,Stallsville,88,30,10,128,17,145
Precinct,Tranquil,45,19,12,76,28,104
Precinct,Tranquil 2,39,11,9,59,50,109
Precinct,Tranquil 3,18,6,5,29,26,55
Precinct,Trolley,29,20,13,62,30,92
Precinct,Tupperway,51,22,16,89,22,111
Precinct,Tupperway 02,35,12,13,60,21,81
Precinct,Windsor,1,0,0,1,99,100
County,Jasper,460,302,93,855,403,1258
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Okatie 02,40,45,9,94,31,125
Precinct,Provisional,0,0,0,0,3,3
Precinct,Sun City,420,257,84,761,369,1130
