,,David Robinson II,Daniel J Shrief,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Precinct,N. Augusta No. 29,15,2,17,140,157
Precinct,N. Augusta No. 54,33,2,35,31,66
Precinct,N. Augusta No. 55,9,1,10,134,144
Precinct,N. Augusta No. 67,8,1,9,119,128
Precinct,N. Augusta No. 68,9,3,12,96,108
Precinct,N. Augusta No. 80,7,3,10,81,91
Precinct,New Ellenton,22,6,28,69,97
Precinct,New Holland,9,1,10,64,74
Precinct,Oak Grove,6,2,8,94,102
Precinct,Perry,18,3,21,66,87
Precinct,Pine Forest,11,1,12,122,134
Precinct,Provisional,1,0,1,3,4
Precinct,Redds Branch,14,1,15,100,115
Precinct,Salley,26,7,33,40,73
Precinct,Sandstone No. 70,9,0,9,74,83
Precinct,Sandstone No. 79,15,6,21,107,128
Precinct,Shaws Fork,3,1,4,48,52
Precinct,Shiloh,25,5,30,183,213
Precinct,Silver Bluff,41,11,52,75,127
Precinct,Six Points No. 35,33,4,37,131,168
Precinct,Six Points No. 46,66,9,75,45,120
Precinct,Sleepy Hollow No. 65,19,8,27,246,273
Precinct,South Aiken No. 75,29,5,34,158,192
Precinct,South Aiken No. 76,7,2,9,114,123
Precinct,South Creek No. 89,17,3,20,211,231
Precinct,Tabernacle,8,6,14,60,74
Precinct,Talatha,16,6,22,163,185
Precinct,Vaucluse,34,11,45,145,190
Precinct,Wagener,38,11,49,139,188
Precinct,Ward,24,4,28,89,117
Precinct,Warrenville,22,6,28,156,184
Precinct,White Pond,26,6,32,33,65
Precinct,Willow Springs,11,1,12,81,93
Precinct,Windsor No. 43,15,4,19,93,112
Precinct,Windsor No. 82,11,1,12,80,92
County,Barnwell,340,94,434,1666,2100
Precinct,Barnwell 01,9,3,12,78,90
Precinct,Barnwell 02,30,5,35,231,266
Precinct,Barnwell 03,37,14,51,243,294
Precinct,Barnwell 04,32,6,38,109,147
Precinct,Blackville 01,29,8,37,58,95
Precinct,Blackville 02,25,6,31,35,66
Precinct,Elko,21,8,29,81,110
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Friendship,1,3,4,184,188
Precinct,Healing Springs,32,8,40,33,73
Precinct,Hilda,2,2,4,144,148
Precinct,Kline,9,5,14,77,91
Precinct,Provisional,0,0,0,0,0
Precinct,Snelling,21,5,26,112,138
Precinct,Williston 01,55,13,68,90,158
Precinct,Williston 02,15,4,19,87,106
Precinct,Williston 03,22,4,26,104,130
County,Lexington,3377,829,4206,30057,34263
Precinct,7 Oaks,42,4,46,121,167
Precinct,Amicks Ferry,18,12,30,999,1029
Precinct,Barr Road 01,17,2,19,295,314
Precinct,Barr Road 02,28,11,39,561,600
Precinct,Batesburg,40,11,51,170,221
