,,Mark Burns,Sheri Biggs,Stewart O. Jones,Kevin Bishop,Franky Franco,Elspeth Snow Murday,Phil Healy,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,Republican,Republican,Republican,Republican,Republican,,,
Precinct,Townville,85,82,21,14,1,2,3,208,7,215
Precinct,Varennes,29,23,12,7,0,0,2,73,7,80
Precinct,West Pelzer,179,83,38,29,15,5,8,357,15,372
Precinct,West Savannah,39,34,9,5,2,1,2,92,12,104
Precinct,White Plains,242,167,109,37,18,6,10,589,39,628
Precinct,Williamston,166,105,27,23,39,3,8,371,27,398
Precinct,Williamston Mill,161,98,56,13,27,4,4,363,10,373
Precinct,Wright's School,77,81,33,9,5,3,2,210,5,215
County,Edgefield,420,790,306,126,50,13,40,1745,778,2523
Precinct,Brunson,14,8,10,1,0,0,2,35,44,79
Precinct,Edgefield No. 01,25,52,9,6,5,1,0,98,47,145
Precinct,Edgefield No. 02,44,60,20,4,7,0,0,135,79,214
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Harmony,25,96,14,18,2,0,3,158,33,191
Precinct,Johnston No. 01,14,24,12,9,3,1,0,63,105,168
Precinct,Johnston No. 02,33,66,11,11,2,0,1,124,99,223
Precinct,Merriweather No. 01,72,132,53,18,16,3,10,304,44,348
Precinct,Merriweather No. 02,90,187,109,23,4,6,10,429,66,495
Precinct,North Side,13,21,11,3,4,0,0,52,39,91
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Trenton No. 01,20,21,13,6,0,0,2,62,54,116
Precinct,Trenton No. 02,21,20,16,15,5,0,4,81,155,236
Precinct,Westside,49,103,28,12,2,2,8,204,13,217
County,Greenville,1988,1088,1007,523,483,134,233,5456,1344,6800
Precinct,Baker Creek,97,46,31,18,21,6,6,225,25,250
Precinct,Dunklin,195,89,75,20,24,5,9,417,32,449
Precinct,Failsafe,1,0,0,0,0,0,0,1,11,12
Precinct,Failsafe Provisional,2,0,0,0,0,0,0,2,19,21
Precinct,Fork Shoals,154,75,81,32,23,3,5,373,23,396
Precinct,Fountain Inn 01,141,66,96,25,39,10,8,385,83,468
Precinct,Fountain Inn 02,68,24,37,14,8,4,7,162,21,183
Precinct,Long Creek,93,84,35,27,50,2,12,303,61,364
Precinct,Neely Farms,124,82,72,53,52,13,23,419,90,509
Precinct,Piedmont,129,77,51,26,7,9,6,305,81,386
Precinct,Pineview,68,27,30,13,14,1,13,166,13,179
Precinct,Provisional,0,1,0,0,0,0,0,1,30,31
Precinct,Raintree,127,56,73,28,43,9,22,358,62,420
Precinct,Reedy Fork,100,65,30,27,19,9,21,271,218,489
Precinct,Sycamore,157,73,76,58,29,20,29,442,117,559
Precinct,Verdmont,73,47,44,36,89,12,19,320,58,378
Precinct,Walnut Springs,220,129,158,96,33,23,37,696,100,796
Precinct,Ware Place,148,80,81,24,20,8,7,368,52,420
Precinct,Woodmont,91,67,37,26,12,0,9,242,248,490
County,Greenwood,1598,1790,1072,612,408,59,83,5622,1683,7305
Precinct,Airport,39,46,43,13,41,5,6,193,50,243
Precinct,Allies Crossing,46,45,24,13,4,0,1,133,27,160
Precinct,Angel Oak's Crossing,65,63,38,27,40,0,5,238,49,287
Precinct,Ashley River Run,5,6,2,1,1,0,1,16,34,50
Precinct,Bee's Ferry,0,1,0,1,0,0,0,2,96,98
Precinct,Biltmore Pines,40,49,23,23,11,2,3,151,40,191
Precinct,Bradley,14,9,3,2,5,0,2,35,15,50
Precinct,Callison,67,41,23,7,2,2,1,143,29,172
Precinct,Civic Center,28,24,14,15,3,1,2,87,49,136
Precinct,Cokesbury,27,19,8,5,3,1,1,64,63,127
Precinct,Coronaca,63,146,52,20,23,2,5,311,35,346
Precinct,Emerald,11,9,5,4,2,0,0,31,53,84
Precinct,Emerald High,23,32,19,15,11,0,1,101,17,118
Precinct,Epworth,34,31,19,9,8,0,0,101,9,110
Precinct,Failsafe,0,0,0,0,0,0,0,0,1,1
Precinct,Failsafe Provisional,2,1,4,0,0,0,0,7,5,12
Precinct,Fairhope Ferry,14,32,9,3,6,0,2,66,57,123
Precinct,Georgetown,34,40,37,33,9,4,2,159,36,195
Precinct,Gideons Way,18,16,5,3,1,0,0,43,50,93
Precinct,Glendale,45,29,29,10,11,0,2,126,20,146
Precinct,Graham's Glen,21,49,35,10,9,2,1,127,26,153
Precinct,Grandiflora Glen,24,32,15,13,0,0,2,86,69,155
Precinct,Greenwood High,35,46,40,18,7,5,4,155,37,192
Precinct,Greenwood Mill,28,33,22,19,18,4,0,124,14,138
Precinct,Harris,31,43,14,14,12,1,1,116,36,152
Precinct,Hodges,62,83,52,17,7,0,1,222,31,253
Precinct,Hope's Ferry,17,9,2,3,1,1,0,33,13,46
Precinct,Laco,51,37,25,15,5,3,3,139,56,195
Precinct,Levi's Knoll,21,26,24,29,11,1,4,116,46,162
Precinct,Liberty,21,8,15,14,3,0,0,61,33,94
Precinct,Loblolly Pines,3,6,5,2,0,0,0,16,26,42
Precinct,Lower Lake,70,119,54,43,16,2,3,307,28,335
Precinct,Marshall Oaks,8,4,4,3,0,0,0,19,13,32
Precinct,Maxwellton Pike,36,37,38,16,12,0,2,141,15,156
Precinct,Mimosa Crest,30,31,30,6,4,1,0,102,55,157
Precinct,Mountain Laurel,26,12,6,4,2,2,1,53,32,85
Precinct,New Market,34,27,19,7,5,1,3,96,33,129
Precinct,Newcastle,47,53,26,21,22,0,1,170,36,206
Precinct,Ninety Six,30,23,15,9,2,3,0,82,48,130
Precinct,Ninety Six Mill,50,34,10,18,3,2,1,118,8,126
Precinct,Parsons Mill,24,27,15,15,6,1,0,88,17,105
Precinct,Pebble Stone Way,40,44,29,17,5,2,5,142,49,191
Precinct,Pinecrest,38,44,19,19,10,5,2,137,39,176
Precinct,Provisional,2,2,1,1,2,0,0,8,5,13
Precinct,Riley,12,9,11,0,0,0,0,32,6,38
Precinct,Rutherford Shoals,15,23,28,4,10,1,2,83,14,97
Precinct,Sandridge,30,34,13,13,3,0,0,93,16,109
Precinct,Shoals Junction,20,23,9,2,2,0,2,58,5,63
Precinct,Sparrows Grace,86,85,71,24,35,4,5,310,35,345
Precinct,Stonewood,55,88,42,20,6,1,2,214,24,238
Precinct,Troy,17,5,3,2,1,0,0,28,4,32
Precinct,Verdery,34,25,20,10,5,0,3,97,70,167
Precinct,Ware Shoals,5,30,3,0,3,0,1,42,9,51
County,Laurens,1697,1353,3921,474,210,86,80,7821,1031,8852
Precinct,Bailey,43,39,139,11,10,2,2,246,28,274
Precinct,Barksdale-Narnie,40,27,121,12,3,2,3,208,22,230
Precinct,Brewerton-princeton,56,40,52,6,13,2,1,170,5,175
Precinct,Clinton 01,34,44,107,24,10,6,3,228,39,267
Precinct,Clinton 02,29,52,134,51,20,18,1,305,28,333
Precinct,Clinton 03,73,74,209,33,10,11,1,411,36,447
Precinct,Clinton Mill,31,23,46,7,3,3,1,114,54,168
Precinct,Cooks,71,26,51,11,11,4,8,182,13,195
Precinct,Cross Hill,84,87,108,21,2,2,7,311,33,344
Precinct,Ekom,28,18,91,3,5,1,2,148,8,156
Precinct,Failsafe,1,0,1,1,0,0,0,3,4,7
Precinct,Failsafe Provisional,3,1,4,2,0,0,0,10,0,10
Precinct,Gray Court,56,25,101,11,2,0,1,196,49,245
Precinct,Greenpond,76,45,153,21,25,0,6,326,29,355
Precinct,Hickory Tavern,106,96,382,20,19,4,7,634,15,649
Precinct,Joanna,94,84,174,34,3,2,7,398,35,433
Precinct,Jones,116,28,78,10,5,4,2,243,42,285
Precinct,Laurens 01,15,14,40,2,6,1,2,80,44,124
Precinct,Laurens 02,3,5,13,0,1,0,0,22,23,45
Precinct,Laurens 03,22,10,49,3,1,1,1,87,28,115
Precinct,Laurens 04,7,7,20,2,1,1,0,38,75,113
Precinct,Laurens 05,57,63,198,22,13,4,0,357,60,417
Precinct,Laurens 06,36,57,197,16,4,0,4,314,43,357
Precinct,Long Branch,57,45,215,14,7,1,1,340,19,359
Precinct,Lydia Mill,29,38,59,13,1,1,1,142,32,174
Precinct,Maddens,41,41,186,9,4,1,0,282,37,319
Precinct,Martins-Poplar Springs,29,48,61,8,3,3,0,152,10,162
Precinct,Mountville,25,30,84,9,1,0,1,150,20,170
Precinct,Mt. Olive,53,59,81,10,9,3,6,221,8,229
Precinct,Ora-lanford,41,33,109,12,4,1,4,204,31,235
Precinct,Owings,37,20,59,11,2,0,0,129,8,137
Precinct,Provisional,2,1,2,0,0,0,0,5,1,6
Precinct,Trinity Ridge,41,42,252,7,2,4,4,352,73,425
Precinct,Waterloo,118,76,102,23,5,3,3,330,41,371
Precinct,Wattsville,53,32,170,21,0,0,0,276,19,295
Precinct,Youngs,90,23,73,14,5,1,1,207,19,226
County,McCormick,460,398,190,86,162,29,18,1343,581,1924
Precinct,Bethany,8,9,2,3,0,0,1,23,30,53
Precinct,Clarks Hill,19,14,4,1,5,1,0,44,14,58
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Mccormick No. 01,48,41,16,15,3,3,3,129,121,250
Precinct,Mccormick No. 02,28,33,9,3,2,0,0,75,58,133
Precinct,Modoc,27,13,14,2,3,1,0,60,8,68
Precinct,Monticello,78,58,23,8,41,4,2,214,27,241
Precinct,Mt. Carmel,0,6,1,0,0,1,0,8,56,64
Precinct,Parksville,8,12,4,4,3,0,0,31,6,37
Precinct,Plum Branch,42,39,28,10,4,4,2,129,98,227
Precinct,Provisional,1,0,0,0,0,0,0,1,0,1
Precinct,Savannah,190,161,89,37,97,15,10,599,115,714
Precinct,Willington,11,12,0,3,4,0,0,30,48,78
County,Newberry,873,1593,916,756,152,88,78,4456,820,5276
Precinct,Beth-Eden,22,47,10,14,6,3,1,103,18,121
Precinct,Bush River,17,28,11,16,1,1,0,74,9,83
Precinct,Chappells,31,48,37,7,4,2,4,133,9,142
Precinct,Consolidated 05,39,87,35,42,8,1,4,216,31,247
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fairview,81,149,101,83,12,13,14,453,52,505
Precinct,Hartford,37,46,47,30,7,2,2,171,21,192
Precinct,Helena,16,22,7,2,0,1,0,48,48,96
Precinct,Johnstone,22,46,38,22,3,3,3,137,12,149
Precinct,Kinards-Jalapa,16,34,24,28,6,1,0,109,12,121
Precinct,Little Mountain,50,79,54,48,5,5,0,241,44,285
Precinct,Maybinton,2,2,3,0,0,0,0,7,17,24
Precinct,Mt. Bethel-Garmany,26,60,35,29,2,5,5,162,37,199
Precinct,Newberry Ward 01,13,23,7,11,7,5,1,67,22,89
Precinct,Newberry Ward 02,32,115,34,58,12,7,6,264,48,312
Precinct,Newberry Ward 03,22,40,19,43,7,2,4,137,43,180
Precinct,Newberry Ward 04,5,7,7,1,0,1,0,21,28,49
Precinct,Newberry Ward 05,4,7,4,1,0,0,0,16,20,36
Precinct,Newberry Ward 06,44,84,52,46,11,9,4,250,65,315
Precinct,O'neal,85,147,83,44,18,4,6,387,31,418
Precinct,Oakland,8,17,4,2,2,0,0,33,16,49
Precinct,Peak,5,5,10,9,0,0,1,30,8,38
Precinct,Pomaria,23,37,28,12,3,1,3,107,12,119
Precinct,Prosperity City,27,49,36,23,4,3,4,146,31,177
Precinct,Prosperity Outside,49,58,32,21,4,3,1,168,33,201
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Silverstreet,56,62,26,22,8,2,0,176,24,200
Precinct,St. Phillips-Jolly Street,34,80,35,46,6,3,4,208,44,252
Precinct,Stoney Hill,45,93,61,35,12,8,7,261,26,287
Precinct,Wheeland,17,47,16,24,1,2,0,107,22,129
Precinct,Whitmire City,24,36,27,15,1,0,2,105,19,124
Precinct,Whitmire Outside,21,38,33,22,2,1,2,119,18,137
County,Oconee,3466,3562,1568,932,359,330,161,10378,900,11278
Precinct,Bountyland,104,148,60,25,30,6,9,382,15,397
Precinct,Earles Grove,98,73,19,15,6,0,4,215,7,222
Precinct,Failsafe,0,0,1,0,0,0,0,1,0,1
Precinct,Failsafe Provisional,2,2,0,0,0,0,0,4,2,6
Precinct,Fair Play,95,93,35,32,11,4,9,279,16,295
Precinct,Friendship,137,111,43,25,9,13,3,341,19,360
Precinct,Holly Springs,44,19,15,13,1,0,1,93,1,94
Precinct,Keowee,148,183,104,59,13,11,2,520,28,548
Precinct,Long Creek,28,23,10,26,6,6,0,99,11,110
Precinct,Madison,62,27,29,8,0,1,5,132,8,140
Precinct,Mountain Rest,135,90,57,44,13,14,3,356,33,389
Precinct,New Hope,155,206,193,59,29,33,12,687,42,729
Precinct,Newry Corinth,13,7,11,2,0,1,0,34,9,43
Precinct,Oakway,153,71,43,14,9,9,5,304,19,323
Precinct,Provisional,1,0,1,1,0,0,1,4,3,7
Precinct,Ravenel,133,147,60,56,17,30,5,448,67,515
Precinct,Return,64,62,32,14,6,4,3,185,5,190
Precinct,Richland,94,71,35,24,4,5,3,236,24,260
Precinct,Salem,122,209,49,16,9,5,5,415,25,440
Precinct,Seneca 01,92,174,54,24,14,17,7,382,67,449
Precinct,Seneca 02,99,134,35,28,10,12,3,321,46,367
Precinct,Seneca 03,94,118,35,26,4,10,2,289,20,309
Precinct,Seneca 04,99,122,32,33,24,13,11,334,60,394
Precinct,Shiloh,61,81,23,21,5,10,3,204,36,240
Precinct,South Union,131,96,40,35,11,6,13,332,29,361
Precinct,Stamp Creek,129,266,110,48,25,28,10,616,53,669
Precinct,Tamassee,100,81,44,23,10,5,3,266,14,280
Precinct,Tokeena-Providence,102,106,23,19,8,7,2,267,15,282
Precinct,Utica,24,18,8,1,1,1,1,54,12,66
Precinct,Walhalla 01,262,296,137,81,25,25,14,840,72,912
Precinct,Walhalla 02,190,146,43,60,18,23,8,488,56,544
Precinct,West Union,160,129,98,46,17,10,6,466,36,502
Precinct,Westminster 01,213,170,53,31,17,14,7,505,27,532
Precinct,Westminster 02,122,83,36,23,7,7,1,279,23,302
County,Pickens,6910,3846,2146,3010,618,506,457,17493,1221,18714
Precinct,6 Mile Mountain,173,104,45,40,8,7,6,383,28,411
Precinct,9 Forks,184,87,54,69,23,11,39,467,25,492
Precinct,Abel,15,17,6,14,5,13,1,71,18,89
Precinct,Albert R. Lewis,179,118,46,43,4,5,18,413,15,428
Precinct,Arial Mill,89,43,16,44,9,2,3,206,4,210
Precinct,Brushy Creek,159,86,41,110,12,12,7,427,14,441
Precinct,Calhoun,16,17,13,13,2,12,2,75,18,93
Precinct,Cedar Rock,121,85,45,59,4,6,9,329,20,349
Precinct,Clemson,62,107,49,123,37,38,13,429,81,510
Precinct,Crescent Hill,186,93,68,59,20,4,5,435,20,455
Precinct,Crestview,110,76,49,181,10,9,6,441,25,466
Precinct,Crossroads,124,79,42,52,12,6,13,328,17,345
Precinct,Crosswell,106,82,27,37,8,7,10,277,19,296
Precinct,Dacusville,120,41,32,40,8,4,16,261,16,277
Precinct,Easley,78,46,28,65,8,7,7,239,16,255
Precinct,East Liberty,121,51,28,28,13,4,1,246,13,259
Precinct,East Pickens,184,90,43,48,21,7,12,405,18,423
Precinct,Failsafe,13,0,1,1,0,0,0,15,0,15
Precinct,Failsafe Provisional,7,0,0,0,0,0,0,7,0,7
Precinct,Flat Rock,155,59,31,38,4,1,8,296,17,313
Precinct,Forest Acres,77,57,25,85,5,12,5,266,21,287
Precinct,Fruit Mountain,90,32,20,43,10,1,3,199,16,215
Precinct,Georges Creek,89,61,31,60,8,6,6,261,28,289
Precinct,Glassy Mountain,180,75,36,39,8,6,9,353,15,368
Precinct,Griffin,233,90,40,53,12,19,14,461,21,482
Precinct,Holly Springs,219,147,98,49,16,7,14,550,40,590
Precinct,Issaqueena,14,27,20,26,4,12,5,108,19,127
Precinct,Lawrence Chapel,107,72,41,32,22,20,0,294,30,324
Precinct,Lenhardt,122,55,40,74,10,16,10,327,21,348
Precinct,McAllister,86,64,31,59,3,2,8,253,10,263
Precinct,Mckissick,106,70,44,70,7,13,4,314,33,347
Precinct,Morrison,30,25,17,47,7,12,5,143,21,164
Precinct,Mountain View,130,94,50,42,8,18,5,347,25,372
Precinct,Norris,128,53,28,25,2,4,3,243,16,259
Precinct,North Central,84,57,32,28,7,8,9,225,19,244
Precinct,North Liberty,114,60,29,25,2,0,7,237,17,254
Precinct,North Pickens,216,104,59,45,12,12,9,457,20,477
Precinct,Pendleton,123,62,26,38,8,2,7,266,18,284
Precinct,Pickensville,99,50,20,53,6,8,6,242,17,259
Precinct,Pike,35,29,26,24,10,7,2,133,22,155
Precinct,Pope Field,93,43,19,43,16,6,4,224,21,245
Precinct,Praters Creek,154,79,39,33,6,13,15,339,14,353
Precinct,Provisional,3,2,1,0,0,0,0,6,1,7
Precinct,Pumpkintown,217,80,106,48,15,5,14,485,35,520
Precinct,Rices Creek,183,62,22,37,5,4,10,323,8,331
Precinct,Rock Springs,85,54,39,55,6,7,7,253,20,273
Precinct,Saluda,83,44,15,25,6,3,5,181,10,191
Precinct,Sheffield,80,68,67,176,21,9,10,431,19,450
Precinct,Simpson,38,34,25,23,7,4,4,135,23,158
Precinct,Sitton,85,75,47,115,21,11,5,359,33,392
Precinct,Six Mile,174,93,41,33,12,11,11,375,14,389
Precinct,Skelton,153,82,37,36,14,5,9,336,8,344
Precinct,Smith Grove,59,31,14,18,6,1,5,134,3,137
Precinct,South Central,52,27,12,20,2,8,0,121,23,144
Precinct,South Pickens,136,68,31,31,7,9,9,291,24,315
Precinct,Stone Church,42,19,22,56,16,26,5,186,36,222
Precinct,Tri County,51,17,11,11,4,3,2,99,9,108
Precinct,University,12,22,5,28,3,13,2,85,13,98
Precinct,Vinland,89,45,25,23,11,6,14,213,10,223
Precinct,West Central,23,16,15,17,7,4,1,83,7,90
Precinct,West Liberty,194,72,55,40,8,5,2,376,13,389
Precinct,West Pickens,193,114,54,48,16,2,3,430,24,454
Precinct,Woodside,122,75,42,59,10,11,7,326,28,354
Precinct,Zion,105,59,25,54,24,0,6,273,12,285
County,Saluda,700,778,336,400,88,18,64,2384,489,2873
Precinct,Centennial,43,41,19,15,3,0,0,121,21,142
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fruit Hill,77,49,18,12,4,1,4,165,59,224
Precinct,Higgins-Zoar,35,40,15,20,7,0,0,117,21,138
Precinct,Holly,71,137,43,59,10,2,17,339,26,365
Precinct,Hollywood,100,83,53,71,17,6,9,339,35,374
Precinct,Holstons,19,42,19,29,1,0,6,116,22,138
Precinct,Pleasant Grove,71,77,30,33,10,2,12,235,32,267
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Richland,40,47,7,27,4,0,1,126,30,156
Precinct,Ridge Spring-Monetta,18,23,19,21,3,0,4,88,62,150
Precinct,Saluda No. 01,42,41,15,29,8,1,1,137,90,227
Precinct,Saluda No. 02,67,85,36,29,11,5,0,233,28,261
Precinct,Sardis,102,95,47,42,5,1,10,302,19,321
Precinct,Ward,15,18,15,13,5,0,0,66,44,110
